""	"task"	"year"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_homegrown"	"num_dataset_imports"	"num_papers_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"pwc_size"	"CV"	"NLP"	"Methodology"
"11"	"3D Hand Pose Estimation"	"2017.0"	"1.0"	"4.0"	"12.0"	"0.0"	"0.0"	"5.0"	"2014.0"	"inf"	"inf"	"1.0"	"1.0"	"23430"	"1"	"0"	"0"
"12"	"3D Hand Pose Estimation"	"2020.0"	"1.0"	"1.0"	"13.0"	"0.0"	"0.0"	"2.0"	"2014.0"	"inf"	"inf"	"1.0"	"1.0"	"63637"	"1"	"0"	"0"
"13"	"3D Human Pose Estimation"	"2014.0"	"1.0"	"0.0"	"14.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	"9766"	"1"	"0"	"0"
"14"	"3D Human Pose Estimation"	"2016.0"	"1.0"	"0.0"	"15.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	"17276"	"1"	"0"	"0"
"15"	"3D Human Pose Estimation"	"2017.0"	"3.0"	"5.0"	"16.0"	"0.0"	"0.0"	"8.0"	"2010.0"	"inf"	"inf"	"1.0"	"1.0"	"23430"	"1"	"0"	"0"
"16"	"3D Human Pose Estimation"	"2019.0"	"1.0"	"19.0"	"19.0"	"0.0"	"0.0"	"20.0"	"2010.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"1"	"0"	"0"
"17"	"3D Human Pose Estimation"	"2021.0"	"1.0"	"24.0"	"20.0"	"0.0"	"3.0"	"28.0"	"2010.0"	"8.0"	"inf"	"0.8888888888888888"	"1.0"	"37713"	"1"	"0"	"0"
"18"	"3D Object Classification"	"2017.0"	"1.0"	"8.0"	"21.0"	"0.0"	"0.0"	"9.0"	"2016.0"	"inf"	"inf"	"1.0"	"1.0"	"23430"	"1"	"0"	"0"
"19"	"3D Object Detection"	"2012.0"	"2.0"	"0.0"	"22.0"	"0.0"	"0.0"	"2.0"	"2012.0"	""	"inf"	""	"1.0"	"4735"	"1"	"0"	"0"
"20"	"3D Object Detection"	"2014.0"	"1.0"	"0.0"	"24.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"9766"	"1"	"0"	"0"
"21"	"3D Object Detection"	"2019.0"	"1.0"	"50.0"	"25.0"	"0.0"	"62.0"	"113.0"	"2012.0"	"0.8064516129032258"	"inf"	"0.44642857142857145"	"1.0"	"49025"	"1"	"0"	"0"
"22"	"3D Object Modeling"	"2012.0"	"1.0"	"0.0"	"26.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"4735"	"0"	"0"	"0"
"23"	"3D Object Tracking"	"2012.0"	"1.0"	"0.0"	"27.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"4735"	"1"	"0"	"0"
"24"	"3D Object Tracking"	"2019.0"	"1.0"	"0.0"	"28.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"49025"	"1"	"0"	"0"
"25"	"3D Point Cloud Classification"	"2015.0"	"1.0"	"0.0"	"29.0"	"0.0"	"1.0"	"2.0"	"2014.0"	"0.0"	"inf"	"0.0"	"1.0"	"12115"	"1"	"0"	"0"
"26"	"3D Point Cloud Classification"	"2019.0"	"1.0"	"0.0"	"30.0"	"0.0"	"13.0"	"14.0"	"2014.0"	"0.0"	"inf"	"0.0"	"1.0"	"49025"	"1"	"0"	"0"
"27"	"3D Point Cloud Matching"	"2019.0"	"1.0"	"4.0"	"31.0"	"0.0"	"0.0"	"5.0"	"2010.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"1"	"0"	"0"
"28"	"3D Pose Estimation"	"2018.0"	"1.0"	"23.0"	"32.0"	"16.0"	"0.0"	"24.0"	"2013.0"	"inf"	"0.0625"	"1.0"	"0.058823529411764705"	"36754"	"1"	"0"	"0"
"29"	"3D Reconstruction"	"2018.0"	"2.0"	"38.0"	"33.0"	"11.0"	"5.0"	"45.0"	"2008.0"	"7.6"	"0.18181818181818182"	"0.8837209302325582"	"0.15384615384615385"	"36754"	"1"	"0"	"0"
"30"	"3D Reconstruction"	"2019.0"	"1.0"	"48.0"	"35.0"	"0.0"	"8.0"	"57.0"	"2008.0"	"6.0"	"inf"	"0.8571428571428571"	"1.0"	"49025"	"1"	"0"	"0"
"31"	"3D Scene Reconstruction"	"2017.0"	"1.0"	"7.0"	"36.0"	"13.0"	"0.0"	"8.0"	"2008.0"	"inf"	"0.07692307692307693"	"1.0"	"0.07142857142857142"	"23430"	"1"	"0"	"0"
"32"	"3D Semantic Segmentation"	"2019.0"	"1.0"	"20.0"	"37.0"	"0.0"	"0.0"	"21.0"	"2016.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"1"	"0"	"0"
"33"	"3D Semantic Segmentation"	"2021.0"	"1.0"	"20.0"	"38.0"	"0.0"	"0.0"	"21.0"	"2016.0"	"inf"	"inf"	"1.0"	"1.0"	"37713"	"1"	"0"	"0"
"34"	"3D Shape Modeling"	"2018.0"	"1.0"	"0.0"	"39.0"	"0.0"	"0.0"	"1.0"	"2014.0"	""	"inf"	""	"1.0"	"36754"	"1"	"0"	"0"
"35"	"3D Shape Reconstruction"	"2018.0"	"1.0"	"0.0"	"40.0"	"0.0"	"2.0"	"3.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"36754"	"1"	"0"	"0"
"36"	"3D Shape Representation"	"2015.0"	"1.0"	"0.0"	"41.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"12115"	"1"	"0"	"0"
"37"	"6D Pose Estimation"	"2017.0"	"1.0"	"12.0"	"42.0"	"8.0"	"0.0"	"13.0"	"2015.0"	"inf"	"0.125"	"1.0"	"0.1111111111111111"	"23430"	"1"	"0"	"0"
"38"	"6D Pose Estimation"	"2018.0"	"1.0"	"15.0"	"43.0"	"0.0"	"0.0"	"16.0"	"2015.0"	"inf"	"inf"	"1.0"	"1.0"	"36754"	"1"	"0"	"0"
"39"	"6D Pose Estimation"	"2019.0"	"2.0"	"59.0"	"44.0"	"0.0"	"0.0"	"61.0"	"2015.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"1"	"0"	"0"
"40"	"6D Pose Estimation using RGB"	"2017.0"	"1.0"	"28.0"	"46.0"	"11.0"	"0.0"	"29.0"	"2015.0"	"inf"	"0.09090909090909091"	"1.0"	"0.08333333333333333"	"23430"	"1"	"0"	"0"
"41"	"6D Pose Estimation using RGB"	"2018.0"	"1.0"	"24.0"	"47.0"	"0.0"	"0.0"	"25.0"	"2015.0"	"inf"	"inf"	"1.0"	"1.0"	"36754"	"1"	"0"	"0"
"42"	"6D Pose Estimation using RGB"	"2019.0"	"2.0"	"59.0"	"48.0"	"0.0"	"0.0"	"61.0"	"2015.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"1"	"0"	"0"
"43"	"6D Pose Estimation using RGBD"	"2018.0"	"1.0"	"3.0"	"50.0"	"0.0"	"0.0"	"4.0"	"2016.0"	"inf"	"inf"	"1.0"	"1.0"	"36754"	"1"	"0"	"0"
"44"	"Abnormal Event Detection In Video"	"2018.0"	"1.0"	"0.0"	"51.0"	"0.0"	"0.0"	"1.0"	"2016.0"	""	"inf"	""	"1.0"	"36754"	"1"	"0"	"1"
"45"	"Abnormal Event Detection In Video"	"2021.0"	"1.0"	"0.0"	"52.0"	"0.0"	"1.0"	"2.0"	"2016.0"	"0.0"	"inf"	"0.0"	"1.0"	"37713"	"1"	"0"	"1"
"46"	"Abstractive Text Summarization"	"2016.0"	"1.0"	"0.0"	"53.0"	"6.0"	"0.0"	"1.0"	"2012.0"	""	"0.16666666666666666"	""	"0.14285714285714285"	"17276"	"0"	"1"	"0"
"47"	"Abstractive Text Summarization"	"2018.0"	"1.0"	"6.0"	"54.0"	"0.0"	"0.0"	"7.0"	"2012.0"	"inf"	"inf"	"1.0"	"1.0"	"36754"	"0"	"1"	"0"
"48"	"Acoustic Scene Classification"	"2018.0"	"2.0"	"0.0"	"55.0"	"0.0"	"0.0"	"2.0"	"2013.0"	""	"inf"	""	"1.0"	"36754"	"0"	"0"	"0"
"49"	"Action Classification"	"2012.0"	"1.0"	"0.0"	"57.0"	"0.0"	"0.0"	"1.0"	"2009.0"	""	"inf"	""	"1.0"	"4735"	"1"	"0"	"0"
"50"	"Action Classification"	"2017.0"	"1.0"	"67.0"	"58.0"	"13.0"	"15.0"	"83.0"	"2009.0"	"4.466666666666667"	"0.07692307692307693"	"0.8170731707317073"	"0.07142857142857142"	"23430"	"1"	"0"	"0"
"51"	"Action Classification"	"2018.0"	"1.0"	"57.0"	"59.0"	"0.0"	"19.0"	"77.0"	"2009.0"	"3.0"	"inf"	"0.75"	"1.0"	"36754"	"1"	"0"	"0"
"52"	"Action Classification"	"2019.0"	"2.0"	"92.0"	"60.0"	"0.0"	"27.0"	"121.0"	"2009.0"	"3.4074074074074074"	"inf"	"0.773109243697479"	"1.0"	"49025"	"1"	"0"	"0"
"53"	"Action Detection"	"2012.0"	"1.0"	"0.0"	"62.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"4735"	"1"	"0"	"0"
"54"	"Action Detection"	"2015.0"	"1.0"	"0.0"	"63.0"	"3.0"	"2.0"	"3.0"	"2012.0"	"0.0"	"0.3333333333333333"	"0.0"	"0.25"	"12115"	"1"	"0"	"0"
"55"	"Action Detection"	"2020.0"	"1.0"	"16.0"	"64.0"	"0.0"	"29.0"	"46.0"	"2012.0"	"0.5517241379310345"	"inf"	"0.35555555555555557"	"1.0"	"63637"	"1"	"0"	"0"
"56"	"Action Generation"	"2020.0"	"1.0"	"4.0"	"65.0"	"0.0"	"0.0"	"5.0"	"2017.0"	"inf"	"inf"	"1.0"	"1.0"	"63637"	"1"	"1"	"0"
"57"	"Action Parsing"	"2020.0"	"1.0"	"0.0"	"66.0"	"0.0"	"0.0"	"1.0"	"2015.0"	""	"inf"	""	"1.0"	"63637"	"0"	"1"	"0"
"58"	"Action Quality Assessment"	"2019.0"	"1.0"	"0.0"	"67.0"	"0.0"	"1.0"	"2.0"	"2016.0"	"0.0"	"inf"	"0.0"	"1.0"	"49025"	"1"	"0"	"0"
"59"	"Action Recognition"	"2004.0"	"1.0"	"0.0"	"68.0"	"0.0"	"0.0"	"1.0"	"2004.0"	""	"inf"	""	"1.0"	"12"	"1"	"0"	"0"
"60"	"Action Recognition"	"2011.0"	"1.0"	"0.0"	"69.0"	"0.0"	"0.0"	"1.0"	"2004.0"	""	"inf"	""	"1.0"	"359"	"1"	"0"	"0"
"61"	"Action Recognition"	"2012.0"	"2.0"	"0.0"	"70.0"	"0.0"	"2.0"	"4.0"	"2004.0"	"0.0"	"inf"	"0.0"	"1.0"	"4735"	"1"	"0"	"0"
"62"	"Action Recognition"	"2013.0"	"1.0"	"0.0"	"72.0"	"0.0"	"5.0"	"6.0"	"2004.0"	"0.0"	"inf"	"0.0"	"1.0"	"6822"	"1"	"0"	"0"
"63"	"Action Recognition"	"2014.0"	"1.0"	"1.0"	"73.0"	"0.0"	"16.0"	"18.0"	"2004.0"	"0.0625"	"inf"	"0.058823529411764705"	"1.0"	"9766"	"1"	"0"	"0"
"64"	"Action Recognition"	"2015.0"	"1.0"	"3.0"	"74.0"	"6.0"	"48.0"	"52.0"	"2004.0"	"0.0625"	"0.16666666666666666"	"0.058823529411764705"	"0.14285714285714285"	"12115"	"1"	"0"	"0"
"65"	"Action Recognition"	"2016.0"	"3.0"	"7.0"	"75.0"	"34.0"	"48.0"	"58.0"	"2004.0"	"0.14583333333333334"	"0.08823529411764706"	"0.12727272727272726"	"0.08108108108108109"	"17276"	"1"	"0"	"0"
"66"	"Action Recognition"	"2017.0"	"3.0"	"20.0"	"78.0"	"0.0"	"67.0"	"90.0"	"2004.0"	"0.29850746268656714"	"inf"	"0.22988505747126436"	"1.0"	"23430"	"1"	"0"	"0"
"67"	"Action Recognition"	"2018.0"	"2.0"	"53.0"	"81.0"	"0.0"	"61.0"	"116.0"	"2004.0"	"0.8688524590163934"	"inf"	"0.4649122807017544"	"1.0"	"36754"	"1"	"0"	"0"
"68"	"Action Recognition"	"2020.0"	"3.0"	"134.0"	"83.0"	"0.0"	"161.0"	"298.0"	"2004.0"	"0.8322981366459627"	"inf"	"0.4542372881355932"	"1.0"	"63637"	"1"	"0"	"0"
"69"	"Action Recognition"	"2021.0"	"1.0"	"64.0"	"86.0"	"0.0"	"90.0"	"155.0"	"2004.0"	"0.7111111111111111"	"inf"	"0.4155844155844156"	"1.0"	"37713"	"1"	"0"	"0"
"70"	"Action Segmentation"	"2015.0"	"1.0"	"3.0"	"87.0"	"12.0"	"0.0"	"4.0"	"2014.0"	"inf"	"0.08333333333333333"	"1.0"	"0.07692307692307693"	"12115"	"1"	"0"	"0"
"71"	"Active Learning"	"2016.0"	"1.0"	"0.0"	"88.0"	"1.0"	"0.0"	"1.0"	"1994.0"	""	"1.0"	""	"0.5"	"17276"	"1"	"1"	"1"
"72"	"Activity Detection"	"2020.0"	"1.0"	"0.0"	"89.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"63637"	"1"	"0"	"0"
"73"	"Activity Recognition"	"2013.0"	"2.0"	"0.0"	"90.0"	"0.0"	"0.0"	"2.0"	"2007.0"	""	"inf"	""	"1.0"	"6822"	"1"	"0"	"0"
"74"	"Age And Gender Classification"	"2006.0"	"1.0"	"0.0"	"92.0"	"0.0"	"0.0"	"1.0"	"2006.0"	""	"inf"	""	"1.0"	"14"	"1"	"0"	"0"
"75"	"Age Estimation"	"2006.0"	"1.0"	"0.0"	"93.0"	"0.0"	"0.0"	"1.0"	"2006.0"	""	"inf"	""	"1.0"	"14"	"1"	"0"	"0"
"76"	"Age Estimation"	"2020.0"	"1.0"	"7.0"	"94.0"	"0.0"	"11.0"	"19.0"	"2006.0"	"0.6363636363636364"	"inf"	"0.3888888888888889"	"1.0"	"63637"	"1"	"0"	"0"
"77"	"Anomaly Detection"	"2008.0"	"1.0"	"0.0"	"95.0"	"0.0"	"0.0"	"1.0"	"2008.0"	""	"inf"	""	"1.0"	"202"	"1"	"0"	"1"
"78"	"Anomaly Detection"	"2010.0"	"1.0"	"0.0"	"96.0"	"0.0"	"0.0"	"1.0"	"2008.0"	""	"inf"	""	"1.0"	"353"	"1"	"0"	"1"
"79"	"Anomaly Detection"	"2015.0"	"1.0"	"0.0"	"97.0"	"0.0"	"5.0"	"6.0"	"2008.0"	"0.0"	"inf"	"0.0"	"1.0"	"12115"	"1"	"0"	"1"
"80"	"Anomaly Detection"	"2018.0"	"1.0"	"57.0"	"98.0"	"26.0"	"17.0"	"75.0"	"2008.0"	"3.3529411764705883"	"0.038461538461538464"	"0.7702702702702703"	"0.037037037037037035"	"36754"	"1"	"0"	"1"
"81"	"Anomaly Detection"	"2019.0"	"1.0"	"84.0"	"99.0"	"0.0"	"15.0"	"100.0"	"2008.0"	"5.6"	"inf"	"0.8484848484848485"	"1.0"	"49025"	"1"	"0"	"1"
"82"	"Anomaly Detection"	"2021.0"	"1.0"	"126.0"	"100.0"	"0.0"	"28.0"	"155.0"	"2008.0"	"4.5"	"inf"	"0.8181818181818182"	"1.0"	"37713"	"1"	"0"	"1"
"83"	"Anomaly Detection In Surveillance Videos"	"2018.0"	"1.0"	"0.0"	"101.0"	"2.0"	"0.0"	"1.0"	"2017.0"	""	"0.5"	""	"0.3333333333333333"	"36754"	"1"	"0"	"1"
"84"	"Anomaly Detection In Surveillance Videos"	"2020.0"	"1.0"	"1.0"	"102.0"	"0.0"	"0.0"	"2.0"	"2017.0"	"inf"	"inf"	"1.0"	"1.0"	"63637"	"1"	"0"	"1"
"85"	"Anomaly Detection In Surveillance Videos"	"2021.0"	"1.0"	"2.0"	"103.0"	"0.0"	"1.0"	"4.0"	"2017.0"	"2.0"	"inf"	"0.6666666666666666"	"1.0"	"37713"	"1"	"0"	"1"
"86"	"Answer Selection"	"2015.0"	"1.0"	"0.0"	"104.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"12115"	"0"	"1"	"0"
"87"	"Answer Selection"	"2016.0"	"1.0"	"4.0"	"105.0"	"0.0"	"0.0"	"5.0"	"2012.0"	"inf"	"inf"	"1.0"	"1.0"	"17276"	"0"	"1"	"0"
"88"	"Argument Retrieval"	"2021.0"	"1.0"	"0.0"	"106.0"	"0.0"	"0.0"	"1.0"	"2018.0"	""	"inf"	""	"1.0"	"37713"	"0"	"0"	"0"
"89"	"Aspect-Based Sentiment Analysis"	"2014.0"	"1.0"	"0.0"	"107.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"9766"	"0"	"1"	"0"
"90"	"Aspect-Based Sentiment Analysis"	"2019.0"	"1.0"	"0.0"	"108.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"49025"	"0"	"1"	"0"
"91"	"Atari Games"	"2012.0"	"1.0"	"0.0"	"109.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"4735"	"0"	"0"	"0"
"92"	"Atari Games"	"2019.0"	"1.0"	"0.0"	"110.0"	"0.0"	"21.0"	"22.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"49025"	"0"	"0"	"0"
"93"	"Atari Games"	"2020.0"	"1.0"	"2.0"	"111.0"	"0.0"	"22.0"	"25.0"	"2012.0"	"0.09090909090909091"	"inf"	"0.08333333333333333"	"1.0"	"63637"	"0"	"0"	"0"
"94"	"Audio Classification"	"2017.0"	"1.0"	"0.0"	"112.0"	"0.0"	"0.0"	"1.0"	"2009.0"	""	"inf"	""	"1.0"	"23430"	"0"	"0"	"0"
"95"	"Audio Tagging"	"2018.0"	"1.0"	"0.0"	"113.0"	"0.0"	"0.0"	"1.0"	"2016.0"	""	"inf"	""	"1.0"	"36754"	"0"	"0"	"0"
"96"	"Audio Tagging"	"2019.0"	"1.0"	"0.0"	"114.0"	"0.0"	"0.0"	"1.0"	"2016.0"	""	"inf"	""	"1.0"	"49025"	"0"	"0"	"0"
"97"	"Automatic Post-Editing"	"2015.0"	"1.0"	"0.0"	"115.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"12115"	"1"	"1"	"0"
"98"	"Automatic Post-Editing"	"2016.0"	"1.0"	"0.0"	"116.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"17276"	"1"	"1"	"0"
"99"	"Automatic Post-Editing"	"2018.0"	"2.0"	"0.0"	"117.0"	"0.0"	"5.0"	"7.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"36754"	"1"	"1"	"0"
"100"	"Autonomous Driving"	"2017.0"	"1.0"	"4.0"	"119.0"	"0.0"	"0.0"	"5.0"	"2009.0"	"inf"	"inf"	"1.0"	"1.0"	"23430"	"1"	"0"	"0"
"101"	"Autonomous Driving"	"2020.0"	"1.0"	"42.0"	"120.0"	"0.0"	"75.0"	"118.0"	"2009.0"	"0.56"	"inf"	"0.358974358974359"	"1.0"	"63637"	"1"	"0"	"0"
"102"	"Autonomous Vehicles"	"2017.0"	"1.0"	"0.0"	"121.0"	"0.0"	"1.0"	"2.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"23430"	"1"	"0"	"0"
"103"	"Biomedical Information Retrieval"	"2021.0"	"1.0"	"0.0"	"122.0"	"0.0"	"0.0"	"1.0"	"2017.0"	""	"inf"	""	"1.0"	"37713"	"0"	"0"	"0"
"104"	"Boundary Detection"	"2001.0"	"1.0"	"0.0"	"123.0"	"0.0"	"0.0"	"1.0"	"2001.0"	""	"inf"	""	"1.0"	"6"	"1"	"0"	"0"
"105"	"COVID-19 Diagnosis"	"2020.0"	"1.0"	"3.0"	"124.0"	"0.0"	"12.0"	"16.0"	"2020.0"	"0.25"	"inf"	"0.2"	"1.0"	"63637"	"0"	"0"	"0"
"106"	"Camouflaged Object Segmentation"	"2021.0"	"2.0"	"13.0"	"125.0"	"0.0"	"4.0"	"19.0"	"2019.0"	"3.25"	"inf"	"0.7647058823529411"	"1.0"	"37713"	"1"	"0"	"0"
"107"	"Chatbot"	"2017.0"	"1.0"	"0.0"	"127.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"23430"	"0"	"1"	"0"
"108"	"Chatbot"	"2018.0"	"1.0"	"0.0"	"128.0"	"0.0"	"1.0"	"2.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"36754"	"0"	"1"	"0"
"109"	"Chinese Named Entity Recognition"	"2018.0"	"1.0"	"0.0"	"129.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"36754"	"0"	"1"	"0"
"110"	"Citation Intent Classification"	"2019.0"	"1.0"	"1.0"	"130.0"	"0.0"	"1.0"	"3.0"	"2013.0"	"1.0"	"inf"	"0.5"	"1.0"	"49025"	"0"	"1"	"0"
"111"	"Citation Prediction"	"2020.0"	"1.0"	"0.0"	"131.0"	"0.0"	"0.0"	"1.0"	"2015.0"	""	"inf"	""	"1.0"	"63637"	"0"	"0"	"0"
"112"	"Citation Prediction"	"2021.0"	"1.0"	"0.0"	"132.0"	"0.0"	"1.0"	"2.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"37713"	"0"	"0"	"0"
"113"	"Code Generation"	"2019.0"	"1.0"	"0.0"	"133.0"	"0.0"	"1.0"	"2.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"49025"	"0"	"1"	"0"
"114"	"Code Generation"	"2021.0"	"2.0"	"0.0"	"134.0"	"0.0"	"2.0"	"4.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"37713"	"0"	"1"	"0"
"115"	"Colorectal Polyps Characterization"	"2021.0"	"1.0"	"3.0"	"136.0"	"0.0"	"0.0"	"4.0"	"2019.0"	"inf"	"inf"	"1.0"	"1.0"	"37713"	"0"	"0"	"0"
"116"	"Colorization"	"2018.0"	"1.0"	"0.0"	"137.0"	"0.0"	"1.0"	"2.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"36754"	"1"	"0"	"0"
"117"	"Common Sense Reasoning"	"2018.0"	"2.0"	"1.0"	"138.0"	"1.0"	"3.0"	"6.0"	"2012.0"	"0.3333333333333333"	"2.0"	"0.25"	"0.6666666666666666"	"36754"	"0"	"0"	"0"
"118"	"Common Sense Reasoning"	"2019.0"	"1.0"	"1.0"	"140.0"	"0.0"	"19.0"	"21.0"	"2012.0"	"0.05263157894736842"	"inf"	"0.05"	"1.0"	"49025"	"0"	"0"	"0"
"119"	"Common Sense Reasoning"	"2020.0"	"3.0"	"1.0"	"141.0"	"0.0"	"10.0"	"14.0"	"2012.0"	"0.1"	"inf"	"0.09090909090909091"	"1.0"	"63637"	"0"	"0"	"0"
"120"	"Commonsense Knowledge Base Construction"	"2020.0"	"1.0"	"0.0"	"144.0"	"0.0"	"0.0"	"1.0"	"2020.0"	""	"inf"	""	"1.0"	"63637"	"0"	"0"	"0"
"121"	"Community Question Answering"	"2018.0"	"1.0"	"0.0"	"145.0"	"1.0"	"0.0"	"1.0"	"2012.0"	""	"1.0"	""	"0.5"	"36754"	"0"	"1"	"0"
"122"	"Computed Tomography (CT)"	"2016.0"	"1.0"	"0.0"	"146.0"	"0.0"	"0.0"	"1.0"	"2013.0"	""	"inf"	""	"1.0"	"17276"	"0"	"0"	"1"
"123"	"Computed Tomography (CT)"	"2019.0"	"1.0"	"0.0"	"147.0"	"2.0"	"9.0"	"10.0"	"2013.0"	"0.0"	"0.5"	"0.0"	"0.3333333333333333"	"49025"	"0"	"0"	"1"
"124"	"Concept-To-Text Generation"	"2016.0"	"1.0"	"0.0"	"148.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"17276"	"0"	"1"	"0"
"125"	"Conditional Text Generation"	"2020.0"	"1.0"	"0.0"	"149.0"	"0.0"	"0.0"	"1.0"	"2018.0"	""	"inf"	""	"1.0"	"63637"	"0"	"1"	"0"
"126"	"Continuous Control"	"2012.0"	"1.0"	"0.0"	"150.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"4735"	"1"	"0"	"0"
"127"	"Continuous Control"	"2018.0"	"1.0"	"22.0"	"151.0"	"0.0"	"18.0"	"41.0"	"2012.0"	"1.2222222222222223"	"inf"	"0.55"	"1.0"	"36754"	"1"	"0"	"0"
"128"	"Contour Detection"	"2011.0"	"1.0"	"0.0"	"152.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	"359"	"1"	"0"	"0"
"129"	"Conversational Response Selection"	"2016.0"	"1.0"	"0.0"	"153.0"	"0.0"	"2.0"	"3.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"17276"	"0"	"1"	"0"
"130"	"Conversational Response Selection"	"2019.0"	"2.0"	"0.0"	"154.0"	"0.0"	"15.0"	"17.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"49025"	"0"	"1"	"0"
