""	"task"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_imports"	"num_papers_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"CV"	"NLP"	"Methodology"
"29"	"Aspect-Based Sentiment Analysis"	"4.0"	"0.0"	"0.0"	"2.0"	"6.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"30"	"Atari Games"	"3.0"	"1.0"	"1.0"	"137.0"	"141.0"	"2012.0"	"0.0072992700729927005"	"3.0"	"0.007246376811594203"	"0.75"	"0"	"0"	"0"
"31"	"Audio Classification"	"1.0"	"0.0"	"0.0"	"2.0"	"3.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"32"	"AutoML"	"2.0"	"0.0"	"0.0"	"59.0"	"61.0"	"2014.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"1"
"33"	"Autonomous Driving"	"20.0"	"90.0"	"10.0"	"181.0"	"291.0"	"2009.0"	"0.4972375690607735"	"2.0"	"0.33210332103321033"	"0.6666666666666666"	"1"	"0"	"0"
"34"	"Autonomous Navigation"	"3.0"	"20.0"	"4.0"	"0.0"	"23.0"	"2013.0"	"inf"	"0.75"	"1.0"	"0.42857142857142855"	"1"	"0"	"0"
"35"	"Autonomous Vehicles"	"8.0"	"1.0"	"1.0"	"126.0"	"135.0"	"2015.0"	"0.007936507936507936"	"8.0"	"0.007874015748031496"	"0.8888888888888888"	"1"	"0"	"0"
"36"	"Bias Detection"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2017.0"	""	"inf"	""	"1.0"	"0"	"1"	"0"
"37"	"Biomedical Information Retrieval"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2017.0"	""	"inf"	""	"1.0"	"0"	"0"	"0"
"38"	"Bird Classification"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	""	""	"inf"	""	"1.0"	"0"	"0"	"0"
"39"	"Board Games"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2014.0"	""	"inf"	""	"1.0"	"0"	"0"	"0"
"40"	"Boundary Detection"	"2.0"	"1.0"	"1.0"	"5.0"	"8.0"	"2001.0"	"0.2"	"2.0"	"0.16666666666666666"	"0.6666666666666666"	"1"	"0"	"0"
"41"	"Causal Inference"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2007.0"	""	"inf"	""	"1.0"	"0"	"0"	"0"
"42"	"Chatbot"	"2.0"	"0.0"	"0.0"	"28.0"	"30.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"43"	"Code Generation"	"3.0"	"0.0"	"0.0"	"5.0"	"8.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"44"	"Code Search"	"1.0"	"0.0"	"0.0"	"8.0"	"9.0"	"2014.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"45"	"Color Constancy"	"2.0"	"0.0"	"0.0"	"5.0"	"7.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"46"	"Colorization"	"1.0"	"0.0"	"0.0"	"2.0"	"3.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"47"	"Computed Tomography (CT)"	"7.0"	"2.0"	"1.0"	"42.0"	"51.0"	"2013.0"	"0.047619047619047616"	"7.0"	"0.045454545454545456"	"0.875"	"0"	"0"	"1"
"48"	"Continuous Control"	"2.0"	"188.0"	"2.0"	"195.0"	"385.0"	"2012.0"	"0.9641025641025641"	"1.0"	"0.4908616187989556"	"0.5"	"1"	"0"	"0"
"49"	"Coreference Resolution"	"16.0"	"4.0"	"1.0"	"119.0"	"139.0"	"2009.0"	"0.03361344537815126"	"16.0"	"0.032520325203252036"	"0.9411764705882353"	"0"	"1"	"0"
"50"	"Cross-Lingual Document Classification"	"2.0"	"0.0"	"0.0"	"5.0"	"7.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"51"	"Cross-Lingual Transfer"	"5.0"	"56.0"	"4.0"	"5.0"	"66.0"	"2013.0"	"11.2"	"1.25"	"0.9180327868852459"	"0.5555555555555556"	"0"	"1"	"0"
"52"	"Data Augmentation"	"10.0"	"20.0"	"6.0"	"2.0"	"32.0"	"2012.0"	"10.0"	"1.6666666666666667"	"0.9090909090909091"	"0.625"	"1"	"1"	"1"
"53"	"Data-to-Text Generation"	"8.0"	"6.0"	"3.0"	"1.0"	"15.0"	"2012.0"	"6.0"	"2.6666666666666665"	"0.8571428571428571"	"0.7272727272727273"	"0"	"1"	"0"
"54"	"Deblurring"	"3.0"	"1.0"	"1.0"	"98.0"	"102.0"	"2006.0"	"0.01020408163265306"	"3.0"	"0.010101010101010102"	"0.75"	"1"	"0"	"0"
"55"	"Denoising"	"5.0"	"0.0"	"0.0"	"4.0"	"9.0"	"2006.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"56"	"Density Estimation"	"1.0"	"238.0"	"6.0"	"0.0"	"239.0"	"2007.0"	"inf"	"0.16666666666666666"	"1.0"	"0.14285714285714285"	"0"	"0"	"1"
"57"	"Depth Estimation"	"13.0"	"1431.0"	"6.0"	"37.0"	"1481.0"	"2009.0"	"38.67567567567568"	"2.1666666666666665"	"0.9747956403269755"	"0.6842105263157895"	"1"	"0"	"0"
"58"	"Dialogue Understanding"	"3.0"	"3.0"	"2.0"	"14.0"	"20.0"	"2009.0"	"0.21428571428571427"	"1.5"	"0.17647058823529413"	"0.6"	"0"	"1"	"0"
"59"	"Dimensionality Reduction"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2002.0"	""	"inf"	""	"1.0"	"1"	"0"	"1"
"60"	"Document Classification"	"3.0"	"62.0"	"6.0"	"0.0"	"65.0"	"2010.0"	"inf"	"0.5"	"1.0"	"0.3333333333333333"	"0"	"1"	"0"
"61"	"Document Layout Analysis"	"3.0"	"0.0"	"0.0"	"4.0"	"7.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"62"	"Domain Adaptation"	"15.0"	"1198.0"	"14.0"	"419.0"	"1632.0"	"2007.0"	"2.8591885441527447"	"1.0714285714285714"	"0.7408781694495981"	"0.5172413793103449"	"1"	"0"	"1"
"63"	"EEG"	"2.0"	"0.0"	"0.0"	"18.0"	"20.0"	"2007.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"1"
"64"	"Emotion Recognition"	"7.0"	"3.0"	"1.0"	"41.0"	"51.0"	"2008.0"	"0.07317073170731707"	"7.0"	"0.06818181818181818"	"0.875"	"1"	"1"	"0"
"65"	"Face Detection"	"13.0"	"142.0"	"23.0"	"343.0"	"498.0"	"2007.0"	"0.4139941690962099"	"0.5652173913043478"	"0.2927835051546392"	"0.3611111111111111"	"1"	"0"	"0"
"66"	"Face Generation"	"3.0"	"156.0"	"28.0"	"0.0"	"159.0"	"2010.0"	"inf"	"0.10714285714285714"	"1.0"	"0.0967741935483871"	"1"	"0"	"0"
"67"	"Face Recognition"	"24.0"	"747.0"	"25.0"	"877.0"	"1648.0"	"2001.0"	"0.8517673888255416"	"0.96"	"0.45997536945812806"	"0.4897959183673469"	"1"	"0"	"0"
"68"	"Face Reconstruction"	"3.0"	"129.0"	"17.0"	"69.0"	"201.0"	"2014.0"	"1.8695652173913044"	"0.17647058823529413"	"0.6515151515151515"	"0.15"	"1"	"0"	"0"
"69"	"Face Verification"	"7.0"	"280.0"	"26.0"	"185.0"	"472.0"	"2009.0"	"1.5135135135135136"	"0.2692307692307692"	"0.6021505376344086"	"0.21212121212121213"	"1"	"0"	"0"
"70"	"Facial Expression Recognition"	"6.0"	"121.0"	"26.0"	"198.0"	"325.0"	"2010.0"	"0.6111111111111112"	"0.23076923076923078"	"0.3793103448275862"	"0.1875"	"1"	"0"	"0"
"71"	"Facial Landmark Detection"	"7.0"	"42.0"	"12.0"	"214.0"	"263.0"	"2011.0"	"0.19626168224299065"	"0.5833333333333334"	"0.1640625"	"0.3684210526315789"	"1"	"0"	"0"
"72"	"Facial Recognition and Modelling"	"4.0"	"0.0"	"0.0"	"169.0"	"173.0"	""	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"73"	"Federated Learning"	"2.0"	"10.0"	"1.0"	"3.0"	"15.0"	"2016.0"	"3.3333333333333335"	"2.0"	"0.7692307692307693"	"0.6666666666666666"	"0"	"0"	"1"
"74"	"Few-Shot Image Classification"	"5.0"	"12.0"	"4.0"	"49.0"	"66.0"	"2014.0"	"0.24489795918367346"	"1.25"	"0.19672131147540983"	"0.5555555555555556"	"1"	"0"	"1"
"75"	"Few-Shot Learning"	"4.0"	"712.0"	"2.0"	"36.0"	"752.0"	"2013.0"	"19.77777777777778"	"2.0"	"0.9518716577540107"	"0.6666666666666666"	"1"	"0"	"1"
"76"	"Few-Shot Transfer Learning for Saliency Prediction"	"3.0"	"0.0"	"0.0"	"53.0"	"56.0"	"2020.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"77"	"Fine-Grained Image Classification"	"6.0"	"22.0"	"6.0"	"121.0"	"149.0"	"2013.0"	"0.18181818181818182"	"1.0"	"0.15384615384615385"	"0.5"	"1"	"0"	"1"
"78"	"General Reinforcement Learning"	"1.0"	"0.0"	"0.0"	"6.0"	"7.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"79"	"Gesture Recognition"	"2.0"	"4.0"	"1.0"	"4.0"	"10.0"	"2009.0"	"1.0"	"2.0"	"0.5"	"0.6666666666666666"	"1"	"0"	"0"
"80"	"Grammatical Error Correction"	"4.0"	"0.0"	"0.0"	"96.0"	"100.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"81"	"Graph Embedding"	"1.0"	"13.0"	"4.0"	"0.0"	"14.0"	"2008.0"	"inf"	"0.25"	"1.0"	"0.2"	"0"	"0"	"1"
"82"	"Graph Learning"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"0"	"0"	"0"
"83"	"Graph Representation Learning"	"1.0"	"4.0"	"2.0"	"0.0"	"5.0"	"2017.0"	"inf"	"0.5"	"1.0"	"0.3333333333333333"	"0"	"0"	"1"
"84"	"Hand Gesture Recognition"	"5.0"	"64.0"	"5.0"	"25.0"	"94.0"	"2013.0"	"2.56"	"1.0"	"0.7191011235955056"	"0.5"	"1"	"0"	"0"
"85"	"Hand Pose Estimation"	"11.0"	"19.0"	"4.0"	"2.0"	"32.0"	"2014.0"	"9.5"	"2.75"	"0.9047619047619048"	"0.7333333333333333"	"1"	"0"	"0"
"86"	"Hate Speech Detection"	"6.0"	"0.0"	"0.0"	"24.0"	"30.0"	"2016.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"87"	"Hope Speech Detection"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2019.0"	""	"inf"	""	"1.0"	"0"	"1"	"0"
"88"	"Human Interaction Recognition"	"2.0"	"0.0"	"0.0"	"4.0"	"6.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"89"	"Human Parsing"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"1"	"0"	"0"
"90"	"Human action generation"	"1.0"	"13.0"	"2.0"	"0.0"	"14.0"	"2018.0"	"inf"	"0.5"	"1.0"	"0.3333333333333333"	"1"	"0"	"0"
"91"	"Human robot  interaction"	"2.0"	"0.0"	"0.0"	"1.0"	"3.0"	"2007.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"92"	"Image Captioning"	"11.0"	"735.0"	"5.0"	"58.0"	"804.0"	"2011.0"	"12.672413793103448"	"2.2"	"0.926860025220681"	"0.6875"	"1"	"0"	"0"
"93"	"Image Classification"	"42.0"	"113.0"	"9.0"	"3822.0"	"3977.0"	"2007.0"	"0.02956567242281528"	"4.666666666666667"	"0.028716645489199492"	"0.8235294117647058"	"1"	"0"	"1"
"94"	"Image Denoising"	"5.0"	"240.0"	"5.0"	"0.0"	"245.0"	"2008.0"	"inf"	"1.0"	"1.0"	"0.5"	"1"	"0"	"0"
"95"	"Image Enhancement"	"3.0"	"2.0"	"1.0"	"4.0"	"9.0"	"2003.0"	"0.5"	"3.0"	"0.3333333333333333"	"0.75"	"1"	"0"	"0"
"96"	"Image Generation"	"6.0"	"1977.0"	"15.0"	"88.0"	"2071.0"	"2013.0"	"22.46590909090909"	"0.4"	"0.9573849878934625"	"0.2857142857142857"	"1"	"1"	"0"
"97"	"Image Matting"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2013.0"	""	"inf"	""	"1.0"	"1"	"0"	"0"
"98"	"Image Recognition"	"1.0"	"3.0"	"1.0"	"0.0"	"4.0"	"2011.0"	"inf"	"1.0"	"1.0"	"0.5"	"1"	"0"	"0"
"99"	"Image Reconstruction"	"1.0"	"2.0"	"1.0"	"0.0"	"3.0"	"2009.0"	"inf"	"1.0"	"1.0"	"0.5"	"1"	"0"	"0"
"100"	"Image Restoration"	"1.0"	"30.0"	"3.0"	"0.0"	"31.0"	"2009.0"	"inf"	"0.3333333333333333"	"1.0"	"0.25"	"1"	"0"	"0"
"101"	"Image Retrieval"	"11.0"	"249.0"	"7.0"	"81.0"	"341.0"	"2008.0"	"3.074074074074074"	"1.5714285714285714"	"0.7545454545454545"	"0.6111111111111112"	"1"	"0"	"0"
"102"	"Image Super-Resolution"	"10.0"	"357.0"	"8.0"	"261.0"	"628.0"	"2010.0"	"1.367816091954023"	"1.25"	"0.5776699029126213"	"0.5555555555555556"	"1"	"0"	"0"
"103"	"Image-based Automatic Meter Reading"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2019.0"	""	"inf"	""	"1.0"	"1"	"0"	"0"
"104"	"Image-to-Image Translation"	"3.0"	"572.0"	"20.0"	"0.0"	"575.0"	"2015.0"	"inf"	"0.15"	"1.0"	"0.13043478260869565"	"1"	"0"	"0"
"105"	"Imitation Learning"	"8.0"	"7.0"	"1.0"	"30.0"	"45.0"	"2008.0"	"0.23333333333333334"	"8.0"	"0.1891891891891892"	"0.8888888888888888"	"0"	"0"	"1"
"106"	"Information Retrieval"	"15.0"	"21.0"	"7.0"	"27.0"	"63.0"	"2007.0"	"0.7777777777777778"	"2.142857142857143"	"0.4375"	"0.6818181818181818"	"0"	"1"	"0"
"107"	"Instance Segmentation"	"14.0"	"177.0"	"6.0"	"460.0"	"651.0"	"2012.0"	"0.3847826086956522"	"2.3333333333333335"	"0.2778649921507064"	"0.7"	"1"	"0"	"0"
"108"	"Interest Point Detection"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2013.0"	""	"inf"	""	"1.0"	"1"	"0"	"0"
"109"	"Keyword Spotting"	"1.0"	"0.0"	"0.0"	"39.0"	"40.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"110"	"Knowledge Graph Completion"	"2.0"	"65.0"	"4.0"	"0.0"	"67.0"	"2014.0"	"inf"	"0.5"	"1.0"	"0.3333333333333333"	"0"	"0"	"0"
"111"	"Knowledge Graph Embedding"	"1.0"	"80.0"	"2.0"	"0.0"	"81.0"	"2014.0"	"inf"	"0.5"	"1.0"	"0.3333333333333333"	"0"	"0"	"0"
"112"	"Knowledge Graphs"	"6.0"	"203.0"	"6.0"	"15.0"	"224.0"	"2013.0"	"13.533333333333333"	"1.0"	"0.9311926605504587"	"0.5"	"0"	"0"	"0"
"113"	"Language Identification"	"2.0"	"0.0"	"0.0"	"25.0"	"27.0"	"2001.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"114"	"Language Modelling"	"23.0"	"454.0"	"30.0"	"307.0"	"784.0"	"2001.0"	"1.478827361563518"	"0.7666666666666667"	"0.5965834428383706"	"0.4339622641509434"	"0"	"1"	"0"
"115"	"Link Prediction"	"12.0"	"141.0"	"4.0"	"400.0"	"553.0"	"2007.0"	"0.3525"	"3.0"	"0.26062846580406657"	"0.75"	"0"	"0"	"0"
"116"	"Lip Reading"	"1.0"	"0.0"	"0.0"	"6.0"	"7.0"	"2014.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"117"	"Long-tail Learning"	"2.0"	"63.0"	"5.0"	"0.0"	"65.0"	"2017.0"	"inf"	"0.4"	"1.0"	"0.2857142857142857"	"0"	"0"	"1"
"118"	"Machine Translation"	"22.0"	"2.0"	"1.0"	"277.0"	"301.0"	"2007.0"	"0.007220216606498195"	"22.0"	"0.007168458781362007"	"0.9565217391304348"	"0"	"1"	"0"
"119"	"Mathematical Question Answering"	"2.0"	"0.0"	"0.0"	"1.0"	"3.0"	"2019.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"120"	"Medical Image Segmentation"	"7.0"	"15.0"	"2.0"	"33.0"	"55.0"	"2014.0"	"0.45454545454545453"	"3.5"	"0.3125"	"0.7777777777777778"	"1"	"0"	"0"
"121"	"Meta-Learning"	"3.0"	"19.0"	"8.0"	"31.0"	"53.0"	"2011.0"	"0.6129032258064516"	"0.375"	"0.38"	"0.2727272727272727"	"0"	"0"	"1"
"122"	"Meter Reading"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"123"	"Motion Capture"	"10.0"	"1.0"	"1.0"	"28.0"	"39.0"	"2008.0"	"0.03571428571428571"	"10.0"	"0.034482758620689655"	"0.9090909090909091"	"1"	"0"	"0"
"124"	"Motion Forecasting"	"1.0"	"2.0"	"1.0"	"14.0"	"17.0"	"2017.0"	"0.14285714285714285"	"1.0"	"0.125"	"0.5"	"1"	"0"	"0"
"125"	"Multi-Object Tracking"	"5.0"	"178.0"	"3.0"	"1.0"	"184.0"	"2011.0"	"178.0"	"1.6666666666666667"	"0.994413407821229"	"0.625"	"1"	"0"	"0"
"126"	"Multimodal Machine Translation"	"5.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2016.0"	""	"inf"	""	"1.0"	"1"	"1"	"0"
"127"	"Multivariate Time Series Forecasting"	"1.0"	"3.0"	"1.0"	"0.0"	"4.0"	"2016.0"	"inf"	"1.0"	"1.0"	"0.5"	"0"	"0"	"1"
"128"	"Music Generation"	"5.0"	"3.0"	"3.0"	"16.0"	"24.0"	"2012.0"	"0.1875"	"1.6666666666666667"	"0.15789473684210525"	"0.625"	"0"	"0"	"0"
"129"	"Named Entity Recognition"	"21.0"	"8.0"	"5.0"	"304.0"	"333.0"	"2003.0"	"0.02631578947368421"	"4.2"	"0.02564102564102564"	"0.8076923076923077"	"0"	"1"	"0"
"130"	"Natural Language Inference"	"21.0"	"10.0"	"5.0"	"732.0"	"763.0"	"2009.0"	"0.01366120218579235"	"4.2"	"0.013477088948787063"	"0.8076923076923077"	"0"	"1"	"0"
"131"	"Node Classification"	"9.0"	"0.0"	"0.0"	"537.0"	"546.0"	"1998.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"132"	"Object Detection"	"45.0"	"2458.0"	"21.0"	"751.0"	"3254.0"	"2007.0"	"3.272969374167776"	"2.142857142857143"	"0.7659707073854783"	"0.6818181818181818"	"1"	"0"	"0"
"133"	"Object Localization"	"4.0"	"41.0"	"1.0"	"79.0"	"124.0"	"2009.0"	"0.5189873417721519"	"4.0"	"0.3416666666666667"	"0.8"	"1"	"0"	"0"
"134"	"Object Recognition"	"19.0"	"1.0"	"1.0"	"478.0"	"498.0"	"2004.0"	"0.0020920502092050207"	"19.0"	"0.0020876826722338203"	"0.95"	"1"	"0"	"0"
"135"	"Object Tracking"	"16.0"	"161.0"	"14.0"	"297.0"	"474.0"	"2008.0"	"0.5420875420875421"	"1.1428571428571428"	"0.35152838427947597"	"0.5333333333333333"	"1"	"0"	"0"
"136"	"Offline RL"	"3.0"	"0.0"	"0.0"	"31.0"	"34.0"	"2017.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"137"	"OpenAI Gym"	"2.0"	"0.0"	"0.0"	"134.0"	"136.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"138"	"Optical Character Recognition"	"13.0"	"18.0"	"2.0"	"424.0"	"455.0"	"1994.0"	"0.04245283018867924"	"6.5"	"0.04072398190045249"	"0.8666666666666667"	"1"	"1"	"1"
"139"	"Optical Flow Estimation"	"8.0"	"13.0"	"4.0"	"303.0"	"324.0"	"2009.0"	"0.0429042904290429"	"2.0"	"0.04113924050632911"	"0.6666666666666666"	"1"	"0"	"0"
"140"	"Outlier Detection"	"1.0"	"34.0"	"2.0"	"2.0"	"37.0"	"2008.0"	"17.0"	"0.5"	"0.9444444444444444"	"0.3333333333333333"	"0"	"0"	"1"
"141"	"Part-Of-Speech Tagging"	"3.0"	"1.0"	"1.0"	"96.0"	"100.0"	"1993.0"	"0.010416666666666666"	"3.0"	"0.010309278350515464"	"0.75"	"0"	"1"	"0"
"142"	"Patch Matching"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2004.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"143"	"Person Re-Identification"	"17.0"	"0.0"	"0.0"	"1003.0"	"1020.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"144"	"Pose Estimation"	"38.0"	"583.0"	"12.0"	"193.0"	"814.0"	"2010.0"	"3.0207253886010363"	"3.1666666666666665"	"0.7512886597938144"	"0.76"	"1"	"0"	"0"
"145"	"Pose Tracking"	"2.0"	"0.0"	"0.0"	"19.0"	"21.0"	"2014.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
