""	"task"	"gini"	"pielou"	"simpson"	"task_size"	"CV"	"NLP"	"Methodology"
"18"	"Autonomous Driving"	"0.6793427230046948"	"0.739772462340966"	"0.13465317125447282"	"355"	"1"	"0"	"0"
"19"	"Autonomous Vehicles"	"0.832794656324068"	"0.47759098394221117"	"0.10076916411172689"	"221"	"1"	"0"	"0"
"20"	"Computed Tomography (CT)"	"0.6165289256198347"	"0.7534925293969146"	"0.3712567501227295"	"55"	"0"	"0"	"1"
"21"	"Constituency Parsing"	"0.9682539682539683"	"0.11759466565886476"	"0.5161248374512354"	"63"	"0"	"1"	"0"
"22"	"Continual Learning"	"0.6637734125171311"	"0.7337563286130193"	"0.40424858618648046"	"398"	"1"	"0"	"1"
"23"	"Continuous Control"	"0.7152317880794703"	"0.6334121232440347"	"0.43657495165335947"	"302"	"1"	"0"	"0"
"24"	"Coreference Resolution"	"0.6480990274093722"	"0.776631570183244"	"0.3114814814814814"	"174"	"0"	"1"	"0"
"25"	"Cross-Domain Few-Shot"	"0.53"	"0.8271209842052686"	"0.48810250152532036"	"40"	"1"	"0"	"1"
"26"	"Cross-Lingual Transfer"	"0.5260869565217391"	"0.8525874806079954"	"0.5227272727272728"	"92"	"0"	"1"	"0"
"27"	"Deblurring"	"0.7993827160493828"	"0.5229792311007861"	"0.28328556856268516"	"108"	"1"	"0"	"0"
"28"	"Density Estimation"	"0.6090909090909091"	"0.7830064210414363"	"0.43930428545813166"	"140"	"0"	"0"	"1"
"29"	"Dependency Parsing"	"0.782608695652174"	"0.504513626429956"	"0.36150341685649207"	"276"	"0"	"1"	"0"
"30"	"Depth Estimation"	"0.8004313540473141"	"0.6416692875008152"	"0.16332884046385915"	"802"	"1"	"0"	"0"
"31"	"Document Classification"	"0.5688073394495413"	"0.828479679252659"	"0.3756837944664032"	"109"	"0"	"1"	"0"
"32"	"Domain Adaptation"	"0.799721435089573"	"0.6722254336697668"	"0.21364900202273562"	"1772"	"1"	"0"	"1"
"33"	"Emotion Recognition"	"0.8071266968325792"	"0.5195090678339421"	"0.13705099460955011"	"221"	"1"	"1"	"0"
"34"	"Face Detection"	"0.7262646598280765"	"0.7305353276045111"	"0.17466871585886995"	"549"	"1"	"0"	"0"
"35"	"Face Generation"	"0.5802970402820814"	"0.8384207468422238"	"0.3311938266000908"	"191"	"1"	"0"	"0"
"36"	"Face Recognition"	"0.74566994690652"	"0.7499777174896695"	"0.19046978569585107"	"1787"	"1"	"0"	"0"
"37"	"Face Reconstruction"	"0.5896196002578982"	"0.837274793928649"	"0.40797857604580284"	"188"	"1"	"0"	"0"
"38"	"Face Verification"	"0.6902474526928676"	"0.7706737207879388"	"0.2543555865975981"	"458"	"1"	"0"	"0"
"39"	"Facial Expression Recognition"	"0.6736928104575163"	"0.7940735583793272"	"0.3000996870932905"	"510"	"1"	"0"	"0"
"40"	"Facial Landmark Detection"	"0.6887159533073929"	"0.7560637542706968"	"0.30066826297149407"	"257"	"1"	"0"	"0"
"41"	"Facial Recognition and Modelling"	"0.8368932038834952"	"0.45894917109503863"	"0.24440758403022556"	"515"	"1"	"0"	"0"
"42"	"Few-Shot Image Classification"	"0.718048780487805"	"0.7287316584791099"	"0.25151116164941045"	"410"	"1"	"0"	"1"
"43"	"Few-Shot Learning"	"0.8415549268052651"	"0.5087605635505881"	"0.22397907038930917"	"739"	"1"	"0"	"1"
"44"	"Few-Shot Transfer Learning for Saliency Prediction"	"0.8641975308641975"	"0.3675763804442439"	"0.32690582959641257"	"54"	"1"	"0"	"0"
"45"	"Fine-Grained Image Classification"	"0.7239436619718311"	"0.7466794179761895"	"0.23328903836473172"	"497"	"1"	"0"	"1"
"46"	"Grammatical Error Correction"	"0.6945454545454546"	"0.6404425968736066"	"0.44147694103911267"	"110"	"0"	"1"	"0"
"47"	"Hand Gesture Recognition"	"0.7225638923055897"	"0.6747614782246673"	"0.16540914783016064"	"271"	"1"	"0"	"0"
"48"	"Image Captioning"	"0.8758001422475106"	"0.4484836976335487"	"0.06622441972567993"	"592"	"1"	"0"	"0"
"49"	"Image Classification"	"0.8746108724770217"	"0.594679332903553"	"0.08111642728694464"	"5155"	"1"	"0"	"1"
"50"	"Image Clustering"	"0.5469318457433907"	"0.8472565320797344"	"0.5088502269288957"	"217"	"1"	"0"	"0"
"51"	"Image Compression"	"0.6414141414141413"	"0.7312468520452647"	"0.36946564885496186"	"44"	"1"	"0"	"0"
"52"	"Image Denoising"	"0.6181920269511509"	"0.7829404405495455"	"0.4322562815227656"	"274"	"1"	"0"	"0"
"53"	"Image Generation"	"0.7393301859890372"	"0.7318770174233429"	"0.27342979919542887"	"1706"	"1"	"1"	"0"
"54"	"Image Inpainting"	"0.7154285714285713"	"0.7168216149831936"	"0.2574171602684493"	"280"	"1"	"0"	"0"
"55"	"Image Retrieval"	"0.7422629769117406"	"0.7017975128380872"	"0.23918375899812647"	"394"	"1"	"0"	"0"
"56"	"Image Super-Resolution"	"0.7570028011204483"	"0.6862757687042021"	"0.26811126020906845"	"952"	"1"	"0"	"0"
"57"	"Image-to-Image Translation"	"0.6357142857142858"	"0.8018508555325692"	"0.3036511729688488"	"560"	"1"	"0"	"0"
"58"	"Imitation Learning"	"0.6300940438871474"	"0.7399725387550654"	"0.33373015873015865"	"58"	"0"	"0"	"1"
"59"	"Information Retrieval"	"0.48085658663205716"	"0.8906063561664769"	"0.4391293714844704"	"134"	"0"	"1"	"0"
"60"	"Instance Segmentation"	"0.8935045317220542"	"0.42892183379214055"	"0.08552270554026893"	"662"	"1"	"0"	"0"
"61"	"Keyword Spotting"	"0.8863636363636362"	"0.26758587835160136"	"0.2413965087281796"	"44"	"0"	"0"	"0"
"62"	"Knowledge Graph Completion"	"0.8648648648648649"	"0.33412624492740584"	"0.17155388471177943"	"74"	"0"	"0"	"0"
"63"	"Knowledge Graph Embedding"	"0.9629629629629629"	"0.12096069274994697"	"0.35031234983181164"	"81"	"0"	"0"	"0"
"64"	"Knowledge Graphs"	"0.831002331002331"	"0.5009706004984085"	"0.1057205635259144"	"286"	"0"	"0"	"0"
"65"	"Language Modelling"	"0.7707395498392283"	"0.6803857845516664"	"0.09334369044975285"	"933"	"0"	"1"	"0"
"66"	"Link Prediction"	"0.7567401960784315"	"0.7035244705203568"	"0.23748205411374934"	"672"	"0"	"0"	"0"
"67"	"Long-tail Learning"	"0.3023255813953489"	"0.9431366785228074"	"0.7997404844290658"	"43"	"0"	"0"	"1"
"68"	"Machine Translation"	"0.7532587671348078"	"0.7151321813405811"	"0.2349320444499525"	"517"	"0"	"1"	"0"
"69"	"Medical Image Segmentation"	"0.6248006379585327"	"0.7865913671379972"	"0.30223836706452173"	"209"	"1"	"0"	"0"
"70"	"Meta-Learning"	"0.6857142857142857"	"0.603203473629758"	"0.1694915254237288"	"60"	"0"	"0"	"1"
"71"	"Motion Capture"	"0.5514950166112957"	"0.8075290414782598"	"0.3963558413719186"	"43"	"1"	"0"	"0"
"72"	"Multi-Object Tracking"	"0.6955484896661368"	"0.7119292956385598"	"0.34215911398534765"	"296"	"1"	"0"	"0"
"73"	"Named Entity Recognition"	"0.7680940703012009"	"0.667319871016951"	"0.11135796605514042"	"558"	"0"	"1"	"0"
"74"	"Natural Language Inference"	"0.8196526095347595"	"0.6318963330699193"	"0.13342281879194634"	"994"	"0"	"1"	"0"
"75"	"Node Classification"	"0.6729990657116164"	"0.7532949051094726"	"0.33489871896344503"	"676"	"0"	"0"	"0"
"76"	"Object Detection"	"0.887510413042715"	"0.4881460295854066"	"0.030327283711726195"	"2467"	"1"	"0"	"0"
"77"	"Object Localization"	"0.6524390243902439"	"0.7207156964756207"	"0.4331357897449111"	"123"	"1"	"0"	"0"
"78"	"Object Recognition"	"0.8284185424300589"	"0.5878999792862897"	"0.13598526330766"	"521"	"1"	"0"	"0"
"79"	"Object Tracking"	"0.7462605087891692"	"0.7199777617148096"	"0.21658512211526426"	"639"	"1"	"0"	"0"
"80"	"OpenAI Gym"	"0.9852941176470589"	"0.06268265300135283"	"0.5074070009876002"	"136"	"0"	"0"	"0"
"81"	"Optical Character Recognition"	"0.7725270324389267"	"0.6224359247065434"	"0.17976340402373636"	"227"	"1"	"1"	"1"
"82"	"Optical Flow Estimation"	"0.8356015242242787"	"0.5418221601064217"	"0.14547873034088837"	"334"	"1"	"0"	"0"
"83"	"Outlier Detection"	"0.6666666666666666"	"0.6759344909044427"	"0.36740934906072537"	"29"	"0"	"0"	"1"
"84"	"Part-Of-Speech Tagging"	"0.8279569892473118"	"0.5034733578918441"	"0.2351012819258244"	"155"	"0"	"1"	"0"
"85"	"Person Re-Identification"	"0.8371928405298817"	"0.5915886205880773"	"0.17691108119004692"	"1364"	"1"	"0"	"0"
"86"	"Pose Estimation"	"0.8021612823005447"	"0.6665521083687589"	"0.12310581551429707"	"1246"	"1"	"0"	"0"
"87"	"Quantization"	"0.8457300275482094"	"0.3880131385413297"	"0.2589026077115327"	"363"	"1"	"0"	"1"
"88"	"Question Answering"	"0.7422272851929202"	"0.7762856021806086"	"0.12023940312721411"	"3105"	"0"	"1"	"0"
"89"	"RGB Salient Object Detection"	"0.6760355029585798"	"0.7639106543929374"	"0.356451958409544"	"624"	"1"	"0"	"0"
"90"	"Reading Comprehension"	"0.7260124252185919"	"0.7435739670430194"	"0.1404775101790767"	"1272"	"0"	"1"	"0"
"91"	"Recommendation Systems"	"0.8438714958051975"	"0.45895028337378935"	"0.07791407833027333"	"362"	"0"	"0"	"0"
"92"	"Relation Extraction"	"0.679780258727627"	"0.771085660449947"	"0.29893271177083974"	"342"	"0"	"1"	"0"
"93"	"Saliency Detection"	"0.5156518747850017"	"0.8192486624240903"	"0.5883324874527716"	"323"	"1"	"0"	"0"
"94"	"Saliency Prediction"	"0.47341772151898737"	"0.863025183132472"	"0.5810175487594843"	"158"	"1"	"0"	"0"
"95"	"Scene Parsing"	"0.8366013071895426"	"0.42016663430761875"	"0.45442897909265617"	"153"	"1"	"0"	"0"
"96"	"Scene Understanding"	"0.7243883461571713"	"0.6988021999315414"	"0.15732977918474902"	"269"	"1"	"0"	"0"
"97"	"Semantic Parsing"	"0.5807978363759297"	"0.8329388786770582"	"0.3938671209540034"	"204"	"0"	"1"	"0"
"98"	"Semantic Role Labeling"	"0.7069767441860465"	"0.6400831300410053"	"0.38934512528953463"	"86"	"0"	"1"	"0"
"99"	"Semantic Segmentation"	"0.8293615632141026"	"0.6672630853684043"	"0.06892440550549983"	"3661"	"1"	"0"	"0"
"100"	"Semantic Textual Similarity"	"0.6281481481481482"	"0.770972146671835"	"0.4444961498950769"	"225"	"0"	"1"	"0"
"101"	"Sentiment Analysis"	"0.8426356589147286"	"0.5730220148373442"	"0.1173140770746031"	"688"	"0"	"1"	"0"
"102"	"Small Object Detection"	"0.6300000000000001"	"0.6321462460036033"	"0.2600915522263837"	"25"	"1"	"0"	"0"
"103"	"Speaker Verification"	"0.9111111111111111"	"0.2623112196143366"	"0.5464112250404749"	"45"	"0"	"0"	"0"
"104"	"Speech Enhancement"	"0.6017316017316018"	"0.7810579494172204"	"0.4793047696038804"	"77"	"0"	"0"	"0"
"105"	"Speech Recognition"	"0.8192720859387526"	"0.5557135464420475"	"0.07321161302478849"	"693"	"0"	"0"	"0"
"106"	"Stochastic Optimization"	"0.7347242921013414"	"0.6607984711470529"	"0.3260602874167543"	"183"	"0"	"0"	"1"
"107"	"Temporal Action Localization"	"0.8437809303860112"	"0.6069168081008348"	"0.15255822090404184"	"1732"	"1"	"0"	"1"
"108"	"Text Classification"	"0.8153679653679653"	"0.6003450320675969"	"0.11974861341289494"	"462"	"0"	"1"	"0"
"109"	"Text Generation"	"0.660786001147447"	"0.7709256673670887"	"0.20930091246974467"	"249"	"1"	"1"	"0"
"110"	"Text Summarization"	"0.7318897877258075"	"0.6893916358801764"	"0.1400620171243914"	"401"	"0"	"1"	"0"
"111"	"Text-to-Image Generation"	"0.6708860759493671"	"0.7174486114022787"	"0.2908743475018642"	"79"	"1"	"1"	"0"
"112"	"Trajectory Prediction"	"0.7307359307359307"	"0.6722788145826689"	"0.2568890814558059"	"154"	"1"	"0"	"0"
"113"	"Transfer Learning"	"0.9534883720930233"	"0.15935006268563445"	"0.5237960339943343"	"43"	"0"	"0"	"1"
"114"	"Unsupervised Anomaly Detection"	"0.5046153846153847"	"0.8564763784397106"	"0.541125541125541"	"50"	"1"	"0"	"1"
"115"	"Unsupervised Image-To-Image Translation"	"0.2973856209150327"	"0.9373028343644936"	"0.7069855939113889"	"51"	"1"	"0"	"0"
"116"	"Video Captioning"	"0.7580128205128205"	"0.6531118387485194"	"0.24426653417495683"	"208"	"1"	"0"	"0"
"117"	"Video Classification"	"0.8347830575845959"	"0.6026684737336762"	"0.10578071229822202"	"1462"	"1"	"0"	"0"
"118"	"Video Frame Interpolation"	"0.6253968253968255"	"0.733892236403856"	"0.401148969889065"	"45"	"1"	"0"	"0"
"119"	"Video Generation"	"0.6145833333333334"	"0.7769002192827217"	"0.40686586141131603"	"80"	"1"	"0"	"0"
"120"	"Video Object Segmentation"	"0.7805125889127243"	"0.6300843438088476"	"0.2614842044624777"	"521"	"1"	"0"	"0"
"121"	"Video Prediction"	"0.6827262044653349"	"0.7392664727657552"	"0.3010114335971856"	"148"	"1"	"0"	"0"
"122"	"Video Retrieval"	"0.6008403361344538"	"0.8273292240419539"	"0.3674013326499231"	"224"	"1"	"0"	"0"
"123"	"Video Semantic Segmentation"	"0.6141732283464567"	"0.6890075753600233"	"0.5532155719430629"	"127"	"1"	"0"	"0"
"124"	"Video Summarization"	"0.7154716981132075"	"0.5858557613968807"	"0.11109353371564172"	"106"	"1"	"0"	"0"
"125"	"Video Understanding"	"0.6540697674418605"	"0.7948812586630014"	"0.26163050351313943"	"344"	"1"	"0"	"0"
"126"	"Visual Odometry"	"0.8246687054026504"	"0.4883290881523215"	"0.19897839557863004"	"109"	"0"	"0"	"0"
"127"	"Visual Question Answering"	"0.7858467487373737"	"0.6711964607386092"	"0.12079680783866645"	"1584"	"1"	"1"	"0"
"128"	"Visual Reasoning"	"0.5125858123569794"	"0.8685303008594252"	"0.529"	"92"	"1"	"0"	"0"
"129"	"Visual Tracking"	"0.7104696251615683"	"0.6796600036075783"	"0.36718956188968055"	"422"	"1"	"0"	"0"
"130"	"Word Embeddings"	"0.700752298690443"	"0.7051293091257422"	"0.16015864369850893"	"194"	"0"	"0"	"1"
"131"	"Word Sense Disambiguation"	"0.6863330843913368"	"0.700433465013313"	"0.28978421196394427"	"103"	"0"	"1"	"0"
"132"	"Zero-Shot Learning"	"0.8445040214477212"	"0.4874245830976193"	"0.20551571328335608"	"373"	"1"	"0"	"1"
