""	"task"	"year"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_imports"	"num_papers_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"pwc_size"	"CV"	"NLP"	"Methodology"
"72"	"Boundary Detection"	"2001.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2001.0"	""	"inf"	""	"1.0"	"6"	"1"	"0"	"0"
"73"	"Chatbot"	"2017.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"23430"	"0"	"1"	"0"
"74"	"Chatbot"	"2018.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"36754"	"0"	"1"	"0"
"75"	"Code Generation"	"2019.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"49025"	"0"	"1"	"0"
"76"	"Code Generation"	"2021.0"	"2.0"	"0.0"	"0.0"	"2.0"	"4.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"37713"	"0"	"1"	"0"
"77"	"Colorization"	"2018.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"36754"	"1"	"0"	"0"
"78"	"Computed Tomography (CT)"	"2016.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2013.0"	""	"inf"	""	"1.0"	"17276"	"0"	"0"	"1"
"79"	"Computed Tomography (CT)"	"2019.0"	"1.0"	"0.0"	"0.0"	"9.0"	"10.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"49025"	"0"	"0"	"1"
"80"	"Continuous Control"	"2012.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"4735"	"1"	"0"	"0"
"81"	"Continuous Control"	"2018.0"	"1.0"	"22.0"	"0.0"	"18.0"	"41.0"	"2012.0"	"1.2222222222222223"	"inf"	"0.55"	"1.0"	"36754"	"1"	"0"	"0"
"82"	"Coreference Resolution"	"2012.0"	"1.0"	"0.0"	"0.0"	"6.0"	"7.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"4735"	"0"	"1"	"0"
"83"	"Coreference Resolution"	"2014.0"	"1.0"	"0.0"	"0.0"	"3.0"	"4.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"9766"	"0"	"1"	"0"
"84"	"Coreference Resolution"	"2018.0"	"2.0"	"0.0"	"0.0"	"13.0"	"15.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"36754"	"0"	"1"	"0"
"85"	"Coreference Resolution"	"2019.0"	"6.0"	"2.0"	"0.0"	"32.0"	"40.0"	"2009.0"	"0.0625"	"inf"	"0.058823529411764705"	"1.0"	"49025"	"0"	"1"	"0"
"86"	"Cross-Lingual Document Classification"	"2018.0"	"2.0"	"0.0"	"0.0"	"1.0"	"3.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"36754"	"0"	"1"	"0"
"87"	"Cross-Lingual Transfer"	"2018.0"	"1.0"	"1.0"	"0.0"	"0.0"	"2.0"	"2013.0"	"inf"	"inf"	"1.0"	"1.0"	"36754"	"0"	"1"	"0"
"88"	"Data Augmentation"	"2019.0"	"3.0"	"5.0"	"0.0"	"1.0"	"9.0"	"2012.0"	"5.0"	"inf"	"0.8333333333333334"	"1.0"	"49025"	"1"	"1"	"1"
"89"	"Data-to-Text Generation"	"2017.0"	"3.0"	"0.0"	"0.0"	"0.0"	"3.0"	"2012.0"	""	"inf"	""	"1.0"	"23430"	"0"	"1"	"0"
"90"	"Data-to-Text Generation"	"2018.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"36754"	"0"	"1"	"0"
"91"	"Data-to-Text Generation"	"2019.0"	"1.0"	"3.0"	"0.0"	"0.0"	"4.0"	"2012.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"0"	"1"	"0"
"92"	"Data-to-Text Generation"	"2020.0"	"1.0"	"1.0"	"0.0"	"0.0"	"2.0"	"2012.0"	"inf"	"inf"	"1.0"	"1.0"	"63637"	"0"	"1"	"0"
"93"	"Deblurring"	"2017.0"	"1.0"	"0.0"	"0.0"	"4.0"	"5.0"	"2006.0"	"0.0"	"inf"	"0.0"	"1.0"	"23430"	"1"	"0"	"0"
"94"	"Deblurring"	"2020.0"	"1.0"	"0.0"	"0.0"	"27.0"	"28.0"	"2006.0"	"0.0"	"inf"	"0.0"	"1.0"	"63637"	"1"	"0"	"0"
"95"	"Denoising"	"2018.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2006.0"	""	"inf"	""	"1.0"	"36754"	"1"	"0"	"0"
"96"	"Depth Estimation"	"2009.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2009.0"	""	"inf"	""	"1.0"	"254"	"1"	"0"	"0"
"97"	"Depth Estimation"	"2016.0"	"1.0"	"24.0"	"0.0"	"0.0"	"25.0"	"2009.0"	"inf"	"inf"	"1.0"	"1.0"	"17276"	"1"	"0"	"0"
"98"	"Depth Estimation"	"2017.0"	"1.0"	"61.0"	"0.0"	"0.0"	"62.0"	"2009.0"	"inf"	"inf"	"1.0"	"1.0"	"23430"	"1"	"0"	"0"
"99"	"Depth Estimation"	"2019.0"	"4.0"	"366.0"	"0.0"	"7.0"	"377.0"	"2009.0"	"52.285714285714285"	"inf"	"0.9812332439678284"	"1.0"	"49025"	"1"	"0"	"0"
"100"	"Depth Estimation"	"2020.0"	"1.0"	"413.0"	"0.0"	"18.0"	"432.0"	"2009.0"	"22.944444444444443"	"inf"	"0.9582366589327146"	"1.0"	"63637"	"1"	"0"	"0"
"101"	"Dialogue Understanding"	"2013.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2009.0"	""	"inf"	""	"1.0"	"6822"	"0"	"1"	"0"
"102"	"Dialogue Understanding"	"2016.0"	"1.0"	"0.0"	"0.0"	"2.0"	"3.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"17276"	"0"	"1"	"0"
"103"	"Dimensionality Reduction"	"2019.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2002.0"	""	"inf"	""	"1.0"	"49025"	"1"	"0"	"1"
"104"	"Document Classification"	"2020.0"	"1.0"	"8.0"	"0.0"	"0.0"	"9.0"	"2010.0"	"inf"	"inf"	"1.0"	"1.0"	"63637"	"0"	"1"	"0"
"105"	"Domain Adaptation"	"2010.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2007.0"	""	"inf"	""	"1.0"	"353"	"1"	"0"	"1"
"106"	"Domain Adaptation"	"2017.0"	"3.0"	"121.0"	"0.0"	"16.0"	"140.0"	"2007.0"	"7.5625"	"inf"	"0.8832116788321168"	"1.0"	"23430"	"1"	"0"	"1"
"107"	"Domain Adaptation"	"2019.0"	"3.0"	"250.0"	"0.0"	"81.0"	"334.0"	"2007.0"	"3.0864197530864197"	"inf"	"0.7552870090634441"	"1.0"	"49025"	"1"	"0"	"1"
"108"	"Domain Adaptation"	"2020.0"	"2.0"	"368.0"	"0.0"	"168.0"	"538.0"	"2007.0"	"2.1904761904761907"	"inf"	"0.6865671641791045"	"1.0"	"63637"	"1"	"0"	"1"
"109"	"EEG"	"2015.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2007.0"	""	"inf"	""	"1.0"	"12115"	"0"	"0"	"1"
"110"	"Emotion Recognition"	"2008.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2008.0"	""	"inf"	""	"1.0"	"202"	"1"	"1"	"0"
"111"	"Emotion Recognition"	"2015.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2008.0"	""	"inf"	""	"1.0"	"12115"	"1"	"1"	"0"
"112"	"Emotion Recognition"	"2020.0"	"1.0"	"1.0"	"0.0"	"10.0"	"12.0"	"2008.0"	"0.1"	"inf"	"0.09090909090909091"	"1.0"	"63637"	"1"	"1"	"0"
"113"	"Face Detection"	"2011.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2007.0"	""	"inf"	""	"1.0"	"359"	"1"	"0"	"0"
"114"	"Face Detection"	"2012.0"	"1.0"	"0.0"	"2.0"	"0.0"	"1.0"	"2007.0"	""	"0.5"	""	"0.3333333333333333"	"4735"	"1"	"0"	"0"
"115"	"Face Detection"	"2015.0"	"2.0"	"11.0"	"0.0"	"26.0"	"39.0"	"2007.0"	"0.4230769230769231"	"inf"	"0.2972972972972973"	"1.0"	"12115"	"1"	"0"	"0"
"116"	"Face Detection"	"2016.0"	"1.0"	"20.0"	"0.0"	"52.0"	"73.0"	"2007.0"	"0.38461538461538464"	"inf"	"0.2777777777777778"	"1.0"	"17276"	"1"	"0"	"0"
"117"	"Face Detection"	"2018.0"	"1.0"	"19.0"	"33.0"	"65.0"	"85.0"	"2007.0"	"0.2923076923076923"	"0.030303030303030304"	"0.2261904761904762"	"0.029411764705882353"	"36754"	"1"	"0"	"0"
"118"	"Face Generation"	"2017.0"	"1.0"	"21.0"	"2.0"	"0.0"	"22.0"	"2010.0"	"inf"	"0.5"	"1.0"	"0.3333333333333333"	"23430"	"1"	"0"	"0"
"119"	"Face Recognition"	"2001.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2001.0"	""	"inf"	""	"1.0"	"6"	"1"	"0"	"0"
"120"	"Face Recognition"	"2006.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2001.0"	""	"inf"	""	"1.0"	"14"	"1"	"0"	"0"
"121"	"Face Recognition"	"2008.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2001.0"	""	"inf"	""	"1.0"	"202"	"1"	"0"	"0"
"122"	"Face Recognition"	"2014.0"	"1.0"	"17.0"	"0.0"	"14.0"	"32.0"	"2001.0"	"1.2142857142857142"	"inf"	"0.5483870967741935"	"1.0"	"9766"	"1"	"0"	"0"
"123"	"Face Recognition"	"2015.0"	"2.0"	"42.0"	"0.0"	"33.0"	"77.0"	"2001.0"	"1.2727272727272727"	"inf"	"0.56"	"1.0"	"12115"	"1"	"0"	"0"
"124"	"Face Recognition"	"2016.0"	"3.0"	"73.0"	"0.0"	"43.0"	"119.0"	"2001.0"	"1.697674418604651"	"inf"	"0.6293103448275862"	"1.0"	"17276"	"1"	"0"	"0"
"125"	"Face Recognition"	"2018.0"	"3.0"	"126.0"	"22.0"	"160.0"	"289.0"	"2001.0"	"0.7875"	"0.13636363636363635"	"0.4405594405594406"	"0.12"	"36754"	"1"	"0"	"0"
"126"	"Face Recognition"	"2020.0"	"1.0"	"160.0"	"0.0"	"231.0"	"392.0"	"2001.0"	"0.6926406926406926"	"inf"	"0.4092071611253197"	"1.0"	"63637"	"1"	"0"	"0"
"127"	"Face Reconstruction"	"2016.0"	"1.0"	"10.0"	"0.0"	"1.0"	"12.0"	"2014.0"	"10.0"	"inf"	"0.9090909090909091"	"1.0"	"17276"	"1"	"0"	"0"
"128"	"Face Reconstruction"	"2019.0"	"1.0"	"20.0"	"21.0"	"17.0"	"38.0"	"2014.0"	"1.1764705882352942"	"0.047619047619047616"	"0.5405405405405406"	"0.045454545454545456"	"49025"	"1"	"0"	"0"
"129"	"Face Verification"	"2015.0"	"1.0"	"30.0"	"0.0"	"15.0"	"46.0"	"2009.0"	"2.0"	"inf"	"0.6666666666666666"	"1.0"	"12115"	"1"	"0"	"0"
"130"	"Face Verification"	"2016.0"	"1.0"	"51.0"	"0.0"	"14.0"	"66.0"	"2009.0"	"3.642857142857143"	"inf"	"0.7846153846153846"	"1.0"	"17276"	"1"	"0"	"0"
"131"	"Face Verification"	"2018.0"	"2.0"	"63.0"	"2.0"	"34.0"	"99.0"	"2009.0"	"1.8529411764705883"	"1.0"	"0.6494845360824743"	"0.5"	"36754"	"1"	"0"	"0"
"132"	"Facial Expression Recognition"	"2010.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	"353"	"1"	"0"	"0"
"133"	"Facial Expression Recognition"	"2013.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	"6822"	"1"	"0"	"0"
"134"	"Facial Expression Recognition"	"2016.0"	"2.0"	"13.0"	"0.0"	"11.0"	"26.0"	"2010.0"	"1.1818181818181819"	"inf"	"0.5416666666666666"	"1.0"	"17276"	"1"	"0"	"0"
"135"	"Facial Expression Recognition"	"2018.0"	"1.0"	"13.0"	"0.0"	"29.0"	"43.0"	"2010.0"	"0.4482758620689655"	"inf"	"0.30952380952380953"	"1.0"	"36754"	"1"	"0"	"0"
"136"	"Facial Expression Recognition"	"2019.0"	"1.0"	"19.0"	"24.0"	"30.0"	"50.0"	"2010.0"	"0.6333333333333333"	"0.041666666666666664"	"0.3877551020408163"	"0.04"	"49025"	"1"	"0"	"0"
"137"	"Facial Landmark Detection"	"2011.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2011.0"	""	"inf"	""	"1.0"	"359"	"1"	"0"	"0"
"138"	"Facial Landmark Detection"	"2012.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2011.0"	""	"inf"	""	"1.0"	"4735"	"1"	"0"	"0"
