""	"task"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_imports"	"num_papers_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"CV"	"NLP"	"Methodology"
"45"	"Aesthetics Quality Assessment"	"1.0"	"16.0"	"1.0"	"1.0"	"18.0"	"2015.0"	"16.0"	"1.0"	"0.9411764705882353"	"0.5"	"1"	"0"	"0"
"46"	"Age And Gender Classification"	"2.0"	"17.0"	"8.0"	"6.0"	"25.0"	"2006.0"	"2.8333333333333335"	"0.25"	"0.7391304347826086"	"0.2"	"1"	"0"	"0"
"47"	"Age Estimation"	"3.0"	"57.0"	"18.0"	"47.0"	"107.0"	"2006.0"	"1.2127659574468086"	"0.16666666666666666"	"0.5480769230769231"	"0.14285714285714285"	"1"	"0"	"0"
"48"	"Animal Pose Estimation"	"1.0"	"8.0"	"1.0"	"0.0"	"9.0"	"2018.0"	"inf"	"1.0"	"1.0"	"0.5"	"1"	"0"	"0"
"49"	"Anomaly Detection"	"10.0"	"480.0"	"8.0"	"133.0"	"623.0"	"2008.0"	"3.6090225563909772"	"1.25"	"0.7830342577487766"	"0.5555555555555556"	"1"	"0"	"1"
"50"	"Anomaly Detection In Surveillance Videos"	"3.0"	"3.0"	"2.0"	"1.0"	"7.0"	"2017.0"	"3.0"	"1.5"	"0.75"	"0.6"	"1"	"0"	"1"
"51"	"Answer Selection"	"3.0"	"13.0"	"8.0"	"1.0"	"17.0"	"2012.0"	"13.0"	"0.375"	"0.9285714285714286"	"0.2727272727272727"	"0"	"1"	"0"
"52"	"Arabic Text Diacritization"	"1.0"	"0.0"	"0.0"	"4.0"	"5.0"	"2017.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"53"	"Argument Retrieval"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2018.0"	""	"inf"	""	"1.0"	"0"	"0"	"0"
"54"	"Art Analysis"	"2.0"	"0.0"	"0.0"	"4.0"	"6.0"	"2014.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"55"	"Aspect-Based Sentiment Analysis"	"4.0"	"0.0"	"0.0"	"2.0"	"6.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"56"	"Atari Games"	"3.0"	"2.0"	"1.0"	"137.0"	"142.0"	"2012.0"	"0.014598540145985401"	"3.0"	"0.014388489208633094"	"0.75"	"0"	"0"	"0"
"57"	"Audio Classification"	"1.0"	"1.0"	"1.0"	"2.0"	"4.0"	"2009.0"	"0.5"	"1.0"	"0.3333333333333333"	"0.5"	"0"	"0"	"0"
"58"	"Audio Tagging"	"2.0"	"0.0"	"0.0"	"2.0"	"4.0"	"2016.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"59"	"AutoML"	"2.0"	"0.0"	"0.0"	"59.0"	"61.0"	"2014.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"1"
"60"	"Automated Theorem Proving"	"2.0"	"2.0"	"1.0"	"8.0"	"12.0"	"2009.0"	"0.25"	"2.0"	"0.2"	"0.6666666666666666"	"0"	"0"	"0"
"61"	"Automatic Post-Editing"	"5.0"	"0.0"	"0.0"	"17.0"	"22.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"1"	"0"
"62"	"Autonomous Driving"	"20.0"	"124.0"	"16.0"	"181.0"	"325.0"	"2009.0"	"0.6850828729281768"	"1.25"	"0.4065573770491803"	"0.5555555555555556"	"1"	"0"	"0"
"63"	"Autonomous Navigation"	"3.0"	"24.0"	"4.0"	"0.0"	"27.0"	"2013.0"	"inf"	"0.75"	"1.0"	"0.42857142857142855"	"1"	"0"	"0"
"64"	"Autonomous Vehicles"	"8.0"	"1.0"	"1.0"	"126.0"	"135.0"	"2015.0"	"0.007936507936507936"	"8.0"	"0.007874015748031496"	"0.8888888888888888"	"1"	"0"	"0"
"65"	"Bias Detection"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2017.0"	""	"inf"	""	"1.0"	"0"	"1"	"0"
"66"	"Biomedical Information Retrieval"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2017.0"	""	"inf"	""	"1.0"	"0"	"0"	"0"
"67"	"Bird Classification"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	""	""	"inf"	""	"1.0"	"0"	"0"	"0"
"68"	"Board Games"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2014.0"	""	"inf"	""	"1.0"	"0"	"0"	"0"
"69"	"Boundary Detection"	"2.0"	"1.0"	"1.0"	"5.0"	"8.0"	"2001.0"	"0.2"	"2.0"	"0.16666666666666666"	"0.6666666666666666"	"1"	"0"	"0"
"70"	"Breast Tumour Classification"	"1.0"	"0.0"	"0.0"	"7.0"	"8.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"71"	"COVID-19 Diagnosis"	"3.0"	"3.0"	"2.0"	"13.0"	"19.0"	"2020.0"	"0.23076923076923078"	"1.5"	"0.1875"	"0.6"	"0"	"0"	"0"
"72"	"Camera shot boundary detection"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2019.0"	""	"inf"	""	"1.0"	"1"	"0"	"0"
"73"	"Camera shot segmentation"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2020.0"	""	"inf"	""	"1.0"	"1"	"0"	"0"
"74"	"Camouflaged Object Segmentation"	"2.0"	"25.0"	"6.0"	"9.0"	"36.0"	"2019.0"	"2.7777777777777777"	"0.3333333333333333"	"0.7352941176470589"	"0.25"	"1"	"0"	"0"
"75"	"Caricature"	"1.0"	"0.0"	"0.0"	"5.0"	"6.0"	"2017.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"76"	"Causal Inference"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2007.0"	""	"inf"	""	"1.0"	"0"	"0"	"0"
"77"	"Chatbot"	"2.0"	"0.0"	"0.0"	"28.0"	"30.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"78"	"Chinese Named Entity Recognition"	"2.0"	"0.0"	"0.0"	"10.0"	"12.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"79"	"Chinese Reading Comprehension"	"1.0"	"8.0"	"3.0"	"0.0"	"9.0"	"2016.0"	"inf"	"0.3333333333333333"	"1.0"	"0.25"	"0"	"0"	"0"
"80"	"Citation Intent Classification"	"1.0"	"3.0"	"2.0"	"2.0"	"6.0"	"2013.0"	"1.5"	"0.5"	"0.6"	"0.3333333333333333"	"0"	"1"	"0"
"81"	"Citation Prediction"	"2.0"	"0.0"	"0.0"	"1.0"	"3.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"82"	"Cloud Removal"	"2.0"	"3.0"	"1.0"	"3.0"	"8.0"	"2017.0"	"1.0"	"2.0"	"0.5"	"0.6666666666666666"	"1"	"0"	"0"
"83"	"Code Generation"	"3.0"	"0.0"	"0.0"	"5.0"	"8.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"84"	"Code Search"	"1.0"	"0.0"	"0.0"	"8.0"	"9.0"	"2014.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"85"	"Coherence Evaluation"	"1.0"	"1.0"	"1.0"	"1.0"	"3.0"	"2015.0"	"1.0"	"1.0"	"0.5"	"0.5"	"0"	"1"	"0"
"86"	"Color Constancy"	"2.0"	"1.0"	"1.0"	"5.0"	"8.0"	"2013.0"	"0.2"	"2.0"	"0.16666666666666666"	"0.6666666666666666"	"1"	"0"	"0"
"87"	"Colorectal Polyps Characterization"	"1.0"	"18.0"	"2.0"	"1.0"	"20.0"	"2019.0"	"18.0"	"0.5"	"0.9473684210526315"	"0.3333333333333333"	"0"	"0"	"0"
"88"	"Colorization"	"1.0"	"1.0"	"1.0"	"2.0"	"4.0"	"2013.0"	"0.5"	"1.0"	"0.3333333333333333"	"0.5"	"1"	"0"	"0"
"89"	"Common Sense Reasoning"	"10.0"	"3.0"	"2.0"	"43.0"	"56.0"	"2012.0"	"0.06976744186046512"	"5.0"	"0.06521739130434782"	"0.8333333333333334"	"0"	"0"	"0"
"90"	"Commonsense Knowledge Base Construction"	"1.0"	"0.0"	"0.0"	"2.0"	"3.0"	"2020.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"91"	"Community Question Answering"	"2.0"	"6.0"	"1.0"	"0.0"	"8.0"	"2012.0"	"inf"	"2.0"	"1.0"	"0.6666666666666666"	"0"	"1"	"0"
"92"	"Compositional Zero-Shot Learning"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2018.0"	""	"inf"	""	"1.0"	"1"	"0"	"1"
"93"	"Computed Tomography (CT)"	"7.0"	"4.0"	"1.0"	"42.0"	"53.0"	"2013.0"	"0.09523809523809523"	"7.0"	"0.08695652173913043"	"0.875"	"0"	"0"	"1"
"94"	"Concept-To-Text Generation"	"1.0"	"1.0"	"1.0"	"0.0"	"2.0"	"2012.0"	"inf"	"1.0"	"1.0"	"0.5"	"0"	"1"	"0"
"95"	"Conditional Text Generation"	"1.0"	"3.0"	"3.0"	"0.0"	"4.0"	"2018.0"	"inf"	"0.3333333333333333"	"1.0"	"0.25"	"0"	"1"	"0"
"96"	"Continuous Control"	"2.0"	"188.0"	"2.0"	"195.0"	"385.0"	"2012.0"	"0.9641025641025641"	"1.0"	"0.4908616187989556"	"0.5"	"1"	"0"	"0"
"97"	"Continuous Object Recognition"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2017.0"	""	"inf"	""	"1.0"	"1"	"0"	"0"
"98"	"Contour Detection"	"1.0"	"0.0"	"0.0"	"21.0"	"22.0"	"2010.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"99"	"Contrastive Learning"	"1.0"	"1.0"	"1.0"	"0.0"	"2.0"	"2013.0"	"inf"	"1.0"	"1.0"	"0.5"	"0"	"0"	"0"
"100"	"Conversation Disentanglement"	"1.0"	"0.0"	"0.0"	"3.0"	"4.0"	"2008.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"101"	"Conversational Response Selection"	"4.0"	"0.0"	"0.0"	"28.0"	"32.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"102"	"Coreference Resolution"	"16.0"	"4.0"	"1.0"	"119.0"	"139.0"	"2009.0"	"0.03361344537815126"	"16.0"	"0.032520325203252036"	"0.9411764705882353"	"0"	"1"	"0"
"103"	"Cross-Lingual Abstractive Summarization"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2020.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"104"	"Cross-Lingual Document Classification"	"2.0"	"6.0"	"1.0"	"5.0"	"13.0"	"2013.0"	"1.2"	"2.0"	"0.5454545454545454"	"0.6666666666666666"	"0"	"1"	"0"
"105"	"Cross-Lingual Natural Language Inference"	"2.0"	"8.0"	"1.0"	"0.0"	"10.0"	"2017.0"	"inf"	"2.0"	"1.0"	"0.6666666666666666"	"0"	"1"	"0"
"106"	"Cross-Lingual Question Answering"	"1.0"	"4.0"	"1.0"	"0.0"	"5.0"	"2015.0"	"inf"	"1.0"	"1.0"	"0.5"	"0"	"1"	"0"
"107"	"Cross-Lingual Transfer"	"5.0"	"69.0"	"7.0"	"5.0"	"79.0"	"2013.0"	"13.8"	"0.7142857142857143"	"0.9324324324324325"	"0.4166666666666667"	"0"	"1"	"0"
"108"	"Cross-Modal  Person Re-Identification"	"1.0"	"6.0"	"1.0"	"0.0"	"7.0"	"2016.0"	"inf"	"1.0"	"1.0"	"0.5"	"1"	"0"	"0"
"109"	"Crowd Counting"	"9.0"	"5.0"	"3.0"	"229.0"	"243.0"	"2013.0"	"0.021834061135371178"	"3.0"	"0.021367521367521368"	"0.75"	"1"	"0"	"0"
"110"	"Curved Text Detection"	"2.0"	"16.0"	"1.0"	"0.0"	"18.0"	"2017.0"	"inf"	"2.0"	"1.0"	"0.6666666666666666"	"1"	"0"	"0"
"111"	"DQN Replay Dataset"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2019.0"	""	"inf"	""	"1.0"	"0"	"0"	"0"
"112"	"Data Augmentation"	"10.0"	"25.0"	"9.0"	"2.0"	"37.0"	"2012.0"	"12.5"	"1.1111111111111112"	"0.9259259259259259"	"0.5263157894736842"	"1"	"1"	"1"
"113"	"Data-to-Text Generation"	"8.0"	"14.0"	"4.0"	"1.0"	"23.0"	"2012.0"	"14.0"	"2.0"	"0.9333333333333333"	"0.6666666666666666"	"0"	"1"	"0"
"114"	"Deblurring"	"3.0"	"1.0"	"1.0"	"98.0"	"102.0"	"2006.0"	"0.01020408163265306"	"3.0"	"0.010101010101010102"	"0.75"	"1"	"0"	"0"
"115"	"Decision Making"	"5.0"	"30.0"	"10.0"	"1.0"	"36.0"	"1992.0"	"30.0"	"0.5"	"0.967741935483871"	"0.3333333333333333"	"0"	"0"	"0"
"116"	"DeepFake Detection"	"4.0"	"94.0"	"2.0"	"90.0"	"188.0"	"2018.0"	"1.0444444444444445"	"2.0"	"0.5108695652173914"	"0.6666666666666666"	"1"	"0"	"0"
"117"	"Defect Detection"	"2.0"	"0.0"	"0.0"	"1.0"	"3.0"	"2014.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"118"	"Definition Extraction"	"1.0"	"0.0"	"0.0"	"5.0"	"6.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"1"	"0"
"119"	"Denoising"	"5.0"	"0.0"	"0.0"	"4.0"	"9.0"	"2006.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"120"	"Dense Object Detection"	"1.0"	"20.0"	"1.0"	"0.0"	"21.0"	"2016.0"	"inf"	"1.0"	"1.0"	"0.5"	"1"	"0"	"0"
"121"	"Dense Video Captioning"	"1.0"	"6.0"	"3.0"	"0.0"	"7.0"	"2017.0"	"inf"	"0.3333333333333333"	"1.0"	"0.25"	"1"	"0"	"0"
"122"	"Density Estimation"	"1.0"	"282.0"	"8.0"	"0.0"	"283.0"	"2007.0"	"inf"	"0.125"	"1.0"	"0.1111111111111111"	"0"	"0"	"1"
"123"	"Depth Completion"	"2.0"	"180.0"	"2.0"	"5.0"	"187.0"	"2015.0"	"36.0"	"1.0"	"0.972972972972973"	"0.5"	"1"	"0"	"0"
"124"	"Depth Estimation"	"13.0"	"1683.0"	"7.0"	"37.0"	"1733.0"	"2009.0"	"45.486486486486484"	"1.8571428571428572"	"0.9784883720930233"	"0.65"	"1"	"0"	"0"
"125"	"Diabetic Retinopathy Detection"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2015.0"	""	"inf"	""	"1.0"	"0"	"0"	"0"
"126"	"Dialog Relation Extraction"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2020.0"	""	"inf"	""	"1.0"	"0"	"1"	"0"
"127"	"Dialogue Generation"	"5.0"	"26.0"	"10.0"	"31.0"	"62.0"	"2012.0"	"0.8387096774193549"	"0.5"	"0.45614035087719296"	"0.3333333333333333"	"1"	"1"	"0"
"128"	"Dialogue State Tracking"	"4.0"	"52.0"	"4.0"	"17.0"	"73.0"	"2013.0"	"3.0588235294117645"	"1.0"	"0.7536231884057971"	"0.5"	"0"	"1"	"0"
"129"	"Dialogue Understanding"	"3.0"	"11.0"	"6.0"	"14.0"	"28.0"	"2009.0"	"0.7857142857142857"	"0.5"	"0.44"	"0.3333333333333333"	"0"	"1"	"0"
"130"	"Dimensionality Reduction"	"1.0"	"1.0"	"1.0"	"0.0"	"2.0"	"2002.0"	"inf"	"1.0"	"1.0"	"0.5"	"1"	"0"	"1"
"131"	"Disguised Face Verification"	"1.0"	"2.0"	"2.0"	"1.0"	"4.0"	"2015.0"	"2.0"	"0.5"	"0.6666666666666666"	"0.3333333333333333"	"1"	"0"	"0"
"132"	"Disparity Estimation"	"1.0"	"0.0"	"0.0"	"7.0"	"8.0"	"2007.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"0"	"0"
"133"	"Distant Speech Recognition"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"0"	"0"	"0"
"134"	"Document Classification"	"3.0"	"89.0"	"9.0"	"0.0"	"92.0"	"2010.0"	"inf"	"0.3333333333333333"	"1.0"	"0.25"	"0"	"1"	"0"
"135"	"Document Image Classification"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2015.0"	""	"inf"	""	"1.0"	"1"	"0"	"1"
"136"	"Document Layout Analysis"	"3.0"	"2.0"	"1.0"	"4.0"	"9.0"	"2012.0"	"0.5"	"3.0"	"0.3333333333333333"	"0.75"	"1"	"0"	"0"
"137"	"Document Summarization"	"9.0"	"16.0"	"6.0"	"30.0"	"55.0"	"2011.0"	"0.5333333333333333"	"1.5"	"0.34782608695652173"	"0.6"	"0"	"1"	"0"
"138"	"Domain Adaptation"	"15.0"	"1515.0"	"15.0"	"419.0"	"1949.0"	"2007.0"	"3.615751789976134"	"1.0"	"0.7833505687693899"	"0.5"	"1"	"0"	"1"
"139"	"Domain Generalization"	"6.0"	"362.0"	"11.0"	"117.0"	"485.0"	"2015.0"	"3.094017094017094"	"0.5454545454545454"	"0.755741127348643"	"0.35294117647058826"	"1"	"0"	"1"
"140"	"Drone Pose Estimation"	"1.0"	"0.0"	"0.0"	"1.0"	"2.0"	"2017.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"0"
"141"	"Duplicate-Question Retrieval"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2021.0"	""	"inf"	""	"1.0"	"0"	"0"	"0"
"142"	"EEG"	"2.0"	"0.0"	"0.0"	"18.0"	"20.0"	"2007.0"	"0.0"	"inf"	"0.0"	"1.0"	"0"	"0"	"1"
"143"	"Egocentric Pose Estimation"	"1.0"	"1.0"	"1.0"	"2.0"	"4.0"	"2019.0"	"0.5"	"1.0"	"0.3333333333333333"	"0.5"	"1"	"0"	"0"
"144"	"Electron Microscopy Image Segmentation"	"1.0"	"1.0"	"1.0"	"0.0"	"2.0"	"2015.0"	"inf"	"1.0"	"1.0"	"0.5"	"1"	"0"	"0"
"145"	"Embodied Question Answering"	"1.0"	"0.0"	"0.0"	"10.0"	"11.0"	"2017.0"	"0.0"	"inf"	"0.0"	"1.0"	"1"	"1"	"0"
"146"	"Emotion Classification"	"2.0"	"6.0"	"2.0"	"1.0"	"9.0"	"2012.0"	"6.0"	"1.0"	"0.8571428571428571"	"0.5"	"0"	"1"	"0"
"147"	"Emotion Recognition"	"7.0"	"3.0"	"1.0"	"41.0"	"51.0"	"2008.0"	"0.07317073170731707"	"7.0"	"0.06818181818181818"	"0.875"	"1"	"1"	"0"
"148"	"Emotion Recognition in Context"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2017.0"	""	"inf"	""	"1.0"	"1"	"1"	"0"
