""	"task"	"gini"	"pielou"	"simpson"	"task_size"	"CV"	"NLP"	"Methodology"
"28"	"3D Object Recognition"	"0.7333333333333334"	"0.5889051713846999"	"0.2968460111317254"	"40"	"1"	"0"	"0"
"29"	"3D Object Reconstruction"	""	""	"1.0"	"33"	"1"	"0"	"0"
"30"	"3D Object Reconstruction From A Single Image"	"0.6"	"0.7219280948873623"	"0.7352941176470587"	"10"	"1"	"0"	"0"
"31"	"3D Object Retrieval"	"0.09090909090909091"	"0.9940302114769566"	"0.9918032786885248"	"11"	"1"	"0"	"0"
"32"	"3D Object Tracking"	"0.3333333333333333"	"0.9182958340544894"	"0.8999999999999999"	"3"	"1"	"0"	"0"
"33"	"3D Part Segmentation"	"0.5288220551378446"	"0.8266270796581408"	"0.5680069930069931"	"57"	"1"	"0"	"0"
"34"	"3D Plane Detection"	""	""	"1.0"	"1"	"1"	"0"	"0"
"35"	"3D Point Cloud Classification"	"0.6285714285714286"	"0.692419486327474"	"0.7167934464599182"	"70"	"1"	"0"	"0"
"36"	"3D Point Cloud Matching"	"0.36"	"0.8982444017039272"	"0.6944444444444442"	"10"	"1"	"0"	"0"
"37"	"3D Pose Estimation"	"0.677727501256913"	"0.7709960156994138"	"0.22494592645998554"	"312"	"1"	"0"	"0"
"38"	"3D Reconstruction"	"0.7206643658326143"	"0.6851680053037681"	"0.14312432988600252"	"244"	"1"	"0"	"0"
"39"	"3D Room Layouts From A Single RGB Panorama"	"0.3333333333333333"	"0.9182958340544894"	"0.8999999999999999"	"6"	"1"	"0"	"0"
"40"	"3D Scene Reconstruction"	"0.5332409972299169"	"0.849489745778734"	"0.475"	"76"	"1"	"0"	"0"
"41"	"3D Semantic Instance Segmentation"	"0.45098039215686275"	"0.8565394213133969"	"0.7297979797979798"	"17"	"1"	"0"	"0"
"42"	"3D Semantic Segmentation"	"0.6509523809523811"	"0.7753249463106321"	"0.3252062497119418"	"168"	"1"	"0"	"0"
"43"	"3D Shape Classification"	"0.7708333333333334"	"0.5380988095521625"	"0.38528428093645484"	"48"	"1"	"0"	"0"
"44"	"3D Shape Generation"	"0.690909090909091"	"0.6110383905522615"	"0.33893557422969195"	"22"	"1"	"0"	"0"
"45"	"3D Shape Modeling"	""	""	"1.0"	"2"	"1"	"0"	"0"
"46"	"3D Shape Recognition"	"0.7222222222222222"	"0.595905918112551"	"0.5242718446601942"	"18"	"1"	"0"	"0"
"47"	"3D Shape Reconstruction"	"0.7560975609756098"	"0.5491375558325332"	"0.25346803377563326"	"41"	"1"	"0"	"0"
"48"	"3D Shape Reconstruction From A Single 2D Image"	""	""	"1.0"	"1"	"1"	"0"	"0"
"49"	"3D Shape Representation"	"0.6476190476190476"	"0.6955928770458643"	"0.3775167785234899"	"30"	"1"	"0"	"0"
"50"	"3D Surface Generation"	"0.4"	"0.8649735207179273"	"0.7575757575757577"	"5"	"1"	"0"	"0"
"51"	"3D Volumetric Reconstruction"	""	""	"1.0"	"1"	"1"	"0"	"0"
"52"	"4D Spatio Temporal Semantic Segmentation"	"0.0"	"1.0"	"1.0"	"2"	"1"	"0"	"0"
"53"	"6D Pose Estimation"	"0.7364470391993329"	"0.6525984030326848"	"0.2956355130884841"	"109"	"1"	"0"	"0"
"54"	"6D Pose Estimation using RGB"	"0.7331518039482641"	"0.6599262214643687"	"0.26723452346071747"	"113"	"1"	"0"	"0"
"55"	"6D Pose Estimation using RGBD"	"0.3333333333333333"	"0.902518266288633"	"0.8205128205128205"	"16"	"1"	"0"	"0"
"56"	"AMR Parsing"	"0.4166666666666667"	"0.875"	"0.7272727272727273"	"8"	"0"	"1"	"0"
"57"	"AMR-to-Text Generation"	""	""	"1.0"	"2"	"0"	"0"	"0"
"58"	"Abnormal Event Detection In Video"	"0.5073891625615764"	"0.8420206431409113"	"0.5808011049723756"	"29"	"1"	"0"	"1"
"59"	"Abstractive Text Summarization"	"0.7089468873768661"	"0.6703533670469453"	"0.11177350737043136"	"229"	"0"	"1"	"0"
"60"	"Abuse Detection"	"0.7692307692307692"	"0.48785277138929134"	"0.4579945799457994"	"13"	"0"	"1"	"0"
"61"	"Abusive Language"	"0.25"	"0.954434002924965"	"0.9411764705882353"	"8"	"0"	"1"	"0"
"62"	"Accented Speech Recognition"	"0.125"	"0.9850568223215079"	"0.9696969696969697"	"8"	"0"	"0"	"0"
"63"	"Accident Anticipation"	"0.3333333333333333"	"0.9182958340544894"	"0.8999999999999999"	"3"	"1"	"0"	"0"
"64"	"Acoustic Scene Classification"	"0.3541666666666667"	"0.9182378440505176"	"0.7619047619047619"	"16"	"0"	"0"	"0"
"65"	"Action Anticipation"	"0.0"	"1.0"	"1.0"	"4"	"1"	"0"	"0"
"66"	"Action Classification"	"0.7442084942084942"	"0.6990668670681559"	"0.1864211566612423"	"448"	"1"	"0"	"0"
"67"	"Action Detection"	"0.7454708118989041"	"0.6693440796484815"	"0.2865778374391992"	"263"	"1"	"0"	"0"
"68"	"Action Generation"	"0.3333333333333333"	"0.9206198357143051"	"0.8571428571428571"	"6"	"1"	"1"	"0"
"69"	"Action Localization"	"0.6818181818181818"	"0.6452075543900085"	"0.5721040189125295"	"22"	"1"	"0"	"0"
"70"	"Action Parsing"	""	""	"1.0"	"1"	"0"	"1"	"0"
"71"	"Action Quality Assessment"	"0.4166666666666667"	"0.875"	"0.7272727272727273"	"8"	"1"	"0"	"0"
"72"	"Action Recognition"	"0.8227726288535784"	"0.6594167565575576"	"0.12057159880095573"	"2129"	"1"	"0"	"0"
"73"	"Action Recognition In Still Images"	"0.22916666666666666"	"0.9533522741071693"	"0.7999999999999999"	"12"	"1"	"0"	"0"
"74"	"Action Recognition In Videos"	"0.4444444444444444"	"0.7896900821428474"	"0.7397260273972602"	"18"	"0"	"0"	"0"
"75"	"Action Segmentation"	"0.603515625"	"0.7678324769414737"	"0.3318748987198185"	"64"	"1"	"0"	"0"
"76"	"Action Spotting"	"0.40540540540540543"	"0.8964119239767355"	"0.7009728622631847"	"37"	"1"	"0"	"0"
"77"	"Action Understanding"	"0.0"	"1.0"	"1.0"	"2"	"1"	"0"	"0"
"78"	"Action Unit Detection"	"0.601010101010101"	"0.7863934501328049"	"0.42187500000000006"	"72"	"1"	"0"	"0"
"79"	"Active Learning"	"0.8198810535259132"	"0.4800522784535135"	"0.19905765352249813"	"107"	"1"	"1"	"1"
"80"	"Active Object Detection"	""	""	"1.0"	"1"	"1"	"1"	"1"
"81"	"Activeness Detection"	""	""	"1.0"	"1"	"1"	"0"	"0"
"82"	"Activity Detection"	"0.125"	"0.979569764547061"	"0.9142857142857144"	"8"	"1"	"0"	"0"
"83"	"Activity Recognition"	"0.7259036144578312"	"0.6008110086594667"	"0.16466285823553317"	"83"	"1"	"0"	"0"
"84"	"Activity Recognition In Videos"	"0.25833333333333336"	"0.9583832232923284"	"0.8097165991902835"	"20"	"1"	"0"	"0"
"85"	"Adversarial Attack"	"0.953125"	"0.1487137337627871"	"0.2705773550006606"	"128"	"1"	"0"	"0"
"86"	"Adversarial Attack Detection"	""	""	"1.0"	"9"	"1"	"0"	"0"
"87"	"Adversarial Defense"	"0.5568345323741007"	"0.7730502438193251"	"0.5830466533888586"	"139"	"0"	"0"	"0"
"88"	"Aesthetics Quality Assessment"	"0.3333333333333333"	"0.8783471047618534"	"0.8181818181818182"	"18"	"1"	"0"	"0"
"89"	"Age And Gender Classification"	"0.5598290598290597"	"0.7934453970324284"	"0.3861386138613861"	"39"	"1"	"0"	"0"
"90"	"Age Estimation"	"0.6113960113960113"	"0.7706734621238372"	"0.24515492630846003"	"130"	"1"	"0"	"0"
"91"	"Age-Invariant Face Recognition"	"0.4666666666666667"	"0.8507211592970182"	"0.6666666666666666"	"24"	"1"	"0"	"0"
"92"	"Animal Pose Estimation"	"0.40740740740740744"	"0.8763576394898526"	"0.75"	"9"	"1"	"0"	"0"
"93"	"Annotated Code Search"	"0.0"	"0.9999999999999999"	"1.0"	"3"	"0"	"0"	"0"
"94"	"Anomaly Detection"	"0.7157115814833935"	"0.7318265463605459"	"0.30275879938359995"	"447"	"1"	"0"	"1"
"95"	"Anomaly Detection In Surveillance Videos"	"0.5"	"0.8347197580871788"	"0.5888501742160279"	"26"	"1"	"0"	"1"
"96"	"Anomaly Detection in Edge Streams"	""	""	"1.0"	"2"	"0"	"0"	"0"
"97"	"Answer Selection"	"0.6483739837398373"	"0.7317642788127348"	"0.20716427720494598"	"123"	"0"	"1"	"0"
"98"	"Arabic Sentiment Analysis"	"0.5333333333333333"	"0.7854752972273343"	"0.5952380952380952"	"10"	"0"	"1"	"0"
"99"	"Arabic Text Diacritization"	""	""	"1.0"	"5"	"0"	"1"	"0"
"100"	"Arbitrary Conditional Density Estimation"	""	""	"1.0"	"1"	"0"	"0"	"1"
"101"	"Argument Mining"	""	""	"1.0"	"1"	"0"	"1"	"0"
"102"	"Argument Retrieval"	""	""	"1.0"	"1"	"0"	"0"	"0"
"103"	"Arousal Estimation"	""	""	"1.0"	"3"	"0"	"0"	"0"
"104"	"Arrhythmia Detection"	"0.0"	"1.0"	"1.0"	"2"	"0"	"0"	"1"
"105"	"Art Analysis"	"0.6666666666666666"	"0.6500224216483541"	"0.6923076923076922"	"6"	"1"	"0"	"0"
"106"	"Aspect Extraction"	""	""	"1.0"	"6"	"0"	"1"	"0"
"107"	"Aspect Sentiment Triplet Extraction"	"0.3333333333333333"	"0.9182958340544894"	"0.8999999999999999"	"3"	"0"	"1"	"0"
"108"	"Aspect-Based Sentiment Analysis"	"0.7486338797814207"	"0.5571328162754681"	"0.21299370349170008"	"61"	"0"	"1"	"0"
"109"	"Aspect-oriented  Opinion Extraction"	""	""	"1.0"	"5"	"0"	"0"	"0"
"110"	"Atari Games"	"0.967816091954023"	"0.11175888746184696"	"0.26430582792779206"	"145"	"0"	"0"	"0"
"111"	"Audio Classification"	"0.7534246575342465"	"0.5824154584322164"	"0.2970953894185204"	"73"	"0"	"0"	"0"
"112"	"Audio Fingerprint"	""	""	"1.0"	"1"	"1"	"0"	"0"
"113"	"Audio Generation"	"0.3888888888888889"	"0.8866828800015341"	"0.7043478260869566"	"9"	"0"	"0"	"0"
"114"	"Audio Source Separation"	"0.5333333333333333"	"0.7854752972273343"	"0.5952380952380952"	"10"	"0"	"0"	"0"
"115"	"Audio Super-Resolution"	""	""	"1.0"	"4"	"1"	"0"	"0"
"116"	"Audio Tagging"	"0.5714285714285714"	"0.7419158534223445"	"0.5444444444444443"	"14"	"0"	"0"	"0"
"117"	"Audio-Visual Active Speaker Detection"	"0.0"	"1.0"	"1.0"	"2"	"0"	"0"	"0"
"118"	"Audio-Visual Video Captioning"	""	""	"1.0"	"1"	"1"	"0"	"0"
"119"	"AutoML"	"0.8080808080808081"	"0.4888861976006368"	"0.38699360341151384"	"66"	"0"	"0"	"1"
"120"	"Automated Feature Engineering"	""	""	"1.0"	"1"	"0"	"0"	"1"
"121"	"Automated Theorem Proving"	"0.4642857142857143"	"0.8549912206176892"	"0.6758620689655173"	"14"	"0"	"0"	"0"
"122"	"Automatic Post-Editing"	"0.611111111111111"	"0.7214284230072929"	"0.3023255813953488"	"39"	"1"	"1"	"0"
"123"	"Automatic Sleep Stage Classification"	""	""	"1.0"	"6"	"0"	"0"	"0"
"124"	"Autonomous Driving"	"0.6793427230046948"	"0.739772462340966"	"0.13465317125447282"	"355"	"1"	"0"	"0"
"125"	"Autonomous Navigation"	"0.38842975206611574"	"0.8951243700912562"	"0.5931372549019609"	"22"	"1"	"0"	"0"
"126"	"Autonomous Vehicles"	"0.832794656324068"	"0.47759098394221117"	"0.10076916411172689"	"221"	"1"	"0"	"0"
"127"	"Auxiliary Learning"	"0.25"	"0.9463946303571861"	"0.8888888888888888"	"4"	"0"	"0"	"1"
"128"	"BIRL"	"0.0"	"1.0"	"1.0"	"2"	"0"	"0"	"0"
"129"	"Band Gap"	""	""	"1.0"	"2"	"0"	"0"	"0"
"130"	"Bayesian Inference"	"0.25"	"0.9463946303571861"	"0.8888888888888888"	"4"	"0"	"0"	"1"
"131"	"Behavioural cloning"	"0.0"	"1.0"	"1.0"	"2"	"0"	"0"	"1"
"132"	"Bias Detection"	"0.2"	"0.9602297178607613"	"0.9259259259259257"	"5"	"0"	"1"	"0"
"133"	"Bilingual Lexicon Induction"	"0.8928571428571428"	"0.2792879313346762"	"0.3854473942969518"	"28"	"0"	"1"	"0"
"134"	"Binarization"	""	""	"1.0"	"25"	"0"	"0"	"0"
"135"	"Biomedical Information Retrieval"	"0.0"	"0.9999999999999999"	"1.0"	"3"	"0"	"0"	"0"
"136"	"Bird Audio Detection"	""	""	"1.0"	"2"	"0"	"0"	"0"
"137"	"Bird Classification"	""	""	"1.0"	"1"	"0"	"0"	"0"
"138"	"Bird Species Classification With Audio-Visual Data"	""	""	"1.0"	"1"	"0"	"0"	"0"
"139"	"Bird View Synthesis"	"0.0"	"0.9999999999999999"	"1.0"	"3"	"1"	"0"	"0"
"140"	"Bird's-Eye View Semantic Segmentation"	"0.0"	"1.0"	"1.0"	"2"	"0"	"0"	"0"
"141"	"Birds Eye View Object Detection"	""	""	"1.0"	"4"	"1"	"0"	"0"
"142"	"Blind Face Restoration"	""	""	"1.0"	"1"	"1"	"0"	"0"
"143"	"Blind Image Deblurring"	"0.5555555555555556"	"0.7725068857142602"	"0.6585365853658537"	"9"	"1"	"0"	"0"
"144"	"Blood Cell Count"	""	""	"1.0"	"1"	"1"	"0"	"0"
"145"	"Blood pressure estimation"	""	""	"1.0"	"2"	"0"	"0"	"0"
"146"	"Board Games"	""	""	"1.0"	"1"	"0"	"0"	"0"
"147"	"Boundary Detection"	"0.4444444444444445"	"0.8096568334164151"	"0.5586206896551723"	"9"	"1"	"0"	"0"
"148"	"Brain Lesion Segmentation From Mri"	""	""	"1.0"	"1"	"1"	"0"	"0"
"149"	"Brain Segmentation"	"0.3333333333333333"	"0.9182958340544894"	"0.8999999999999999"	"3"	"1"	"0"	"0"
"150"	"Brain Tumor Segmentation"	"0.6822001527883881"	"0.7129652984714357"	"0.3749867598771317"	"119"	"1"	"0"	"0"
"151"	"Breast Tumour Classification"	""	""	"1.0"	"8"	"0"	"0"	"0"
"152"	"Business Taxonomy Construction"	""	""	"1.0"	"1"	"0"	"0"	"0"
"153"	"CCG Supertagging"	""	""	"1.0"	"5"	"0"	"1"	"0"
"154"	"COVID-19 Diagnosis"	"0.4526315789473684"	"0.848858343616269"	"0.6611721611721612"	"19"	"0"	"0"	"0"
"155"	"COVID-19 Modelling"	""	""	"1.0"	"1"	"0"	"0"	"0"
"156"	"Calibration for Link Prediction"	"0.0"	"0.9999999999999999"	"1.0"	"3"	"0"	"0"	"0"
"157"	"Camera Localization"	""	""	"1.0"	"4"	"1"	"0"	"0"
"158"	"Camera Relocalization"	"0.0"	"1.0"	"1.0"	"2"	"1"	"0"	"0"
"159"	"Camera shot boundary detection"	"0.0"	"1.0"	"1.0"	"2"	"1"	"0"	"0"
"160"	"Camera shot segmentation"	""	""	"1.0"	"1"	"1"	"0"	"0"
"161"	"Camouflaged Object Segmentation"	"0.4316109422492401"	"0.8966860160720675"	"0.6161785216178522"	"47"	"1"	"0"	"0"
"162"	"Car Racing"	"0.5"	"0.8112781244591328"	"0.8"	"4"	"1"	"0"	"0"
"163"	"Cardiac Segmentation"	"0.3333333333333333"	"0.9206198357143051"	"0.8571428571428571"	"6"	"1"	"0"	"0"
"164"	"Caricature"	""	""	"1.0"	"6"	"1"	"0"	"0"
"165"	"Causal Emotion Entailment"	""	""	"1.0"	"1"	"0"	"1"	"0"
"166"	"Causal Inference"	"0.0"	"1.0"	"1.0"	"2"	"0"	"0"	"0"
"167"	"Cell Segmentation"	"0.1851851851851852"	"0.9767405284749316"	"0.8901098901098903"	"18"	"1"	"0"	"0"
"168"	"Cervical Nucleus Detection"	""	""	"1.0"	"1"	"0"	"0"	"0"
"169"	"Change Point Detection"	"0.0"	"1.0"	"1.0"	"4"	"0"	"0"	"0"
"170"	"Change detection for remote sensing images"	""	""	"1.0"	"5"	"1"	"0"	"0"
"171"	"Chatbot"	"0.6761904761904761"	"0.5859833985130027"	"0.5181895093062605"	"70"	"0"	"1"	"0"
"172"	"Chinese Landscape Painting Generation"	""	""	"1.0"	"1"	"1"	"0"	"0"
"173"	"Chinese Named Entity Recognition"	"0.6374269005847952"	"0.7178187804399095"	"0.3646464646464648"	"38"	"0"	"1"	"0"
"174"	"Chinese Reading Comprehension"	"0.19999999999999998"	"0.9609640474436812"	"0.8928571428571428"	"5"	"0"	"0"	"0"
"175"	"Chinese Sentence Pair Classification"	""	""	"1.0"	"3"	"0"	"0"	"0"
"176"	"Chinese Word Segmentation"	""	""	"1.0"	"1"	"0"	"1"	"0"
"177"	"Chord Recognition"	""	""	"1.0"	"3"	"0"	"0"	"0"
"178"	"Chunking"	"0.0"	"1.0"	"1.0"	"52"	"0"	"1"	"0"
"179"	"Citation Intent Classification"	"0.4444444444444444"	"0.8647869792568111"	"0.72"	"12"	"0"	"1"	"0"
"180"	"Citation Prediction"	"0.3333333333333333"	"0.9182958340544894"	"0.8999999999999999"	"3"	"0"	"0"	"0"
"181"	"Citation Recommendation"	""	""	"1.0"	"1"	"0"	"0"	"0"
"182"	"Classification Consistency"	"0.0"	"1.0"	"1.0"	"2"	"1"	"0"	"1"
"183"	"Classification Of Hyperspectral Images"	"0.0"	"1.0"	"1.0"	"2"	"1"	"0"	"0"
"184"	"Classification with Binary Neural Network"	"0.5555555555555556"	"0.7725068857142602"	"0.6585365853658537"	"9"	"0"	"0"	"0"
"185"	"Classification with Binary Weight Network"	"0.19999999999999998"	"0.9609640474436812"	"0.8928571428571428"	"5"	"0"	"0"	"0"
"186"	"Classify 3D Point Clouds"	"0.6"	"0.7219280948873623"	"0.7352941176470587"	"5"	"1"	"0"	"0"
"187"	"Click-Through Rate Prediction"	"0.4722222222222222"	"0.7852151837097773"	"0.7322033898305085"	"36"	"0"	"0"	"0"
"188"	"Clinical Language Translation"	""	""	"1.0"	"1"	"0"	"1"	"0"
"189"	"Cloud Detection"	""	""	"1.0"	"1"	"1"	"0"	"0"
"190"	"Cloud Removal"	"0.3333333333333333"	"0.9206198357143051"	"0.8571428571428571"	"6"	"1"	"0"	"0"
"191"	"Cloze (multi-choices) (Few-Shot)"	"0.0"	"0.9999999999999999"	"1.0"	"3"	"0"	"0"	"0"
"192"	"Cloze (multi-choices) (One-Shot)"	"0.0"	"0.9999999999999999"	"1.0"	"3"	"0"	"0"	"0"
"193"	"Cloze (multi-choices) (Zero-Shot)"	"0.0"	"0.9999999999999999"	"1.0"	"3"	"0"	"0"	"0"
"194"	"Clustering Algorithms Evaluation"	"0.14285714285714285"	"0.9755037590061085"	"0.9074074074074074"	"7"	"0"	"0"	"1"
"195"	"Clustering Ensemble"	"0.2"	"0.9602297178607613"	"0.9259259259259257"	"5"	"0"	"0"	"0"
"196"	"Co-Salient Object Detection"	"0.5595238095238095"	"0.782995996359176"	"0.45569620253164556"	"24"	"1"	"0"	"0"
"197"	"Code Documentation Generation"	""	""	"1.0"	"2"	"0"	"1"	"0"
"198"	"Code Generation"	"0.37815126050420167"	"0.9135616339283401"	"0.7372448979591837"	"34"	"0"	"1"	"0"
"199"	"Code Search"	"0.5277777777777778"	"0.8081032498902062"	"0.5999999999999999"	"18"	"0"	"0"	"0"
"200"	"Coherence Evaluation"	"0.3333333333333333"	"0.9182958340544894"	"0.8999999999999999"	"3"	"0"	"1"	"0"
"201"	"Color Constancy"	"0.48148148148148145"	"0.8288713632524446"	"0.6532258064516129"	"9"	"1"	"0"	"0"
"202"	"Color Image Compression Artifact Reduction"	""	""	"1.0"	"1"	"1"	"0"	"0"
"203"	"Color Image Denoising"	"0.5023041474654378"	"0.8403968561229164"	"0.5917487684729064"	"31"	"1"	"0"	"0"
"204"	"Colorectal Gland Segmentation:"	"0.0"	"1.0"	"1.0"	"2"	"0"	"0"	"0"
"205"	"Colorectal Polyps Characterization"	"0.41666666666666663"	"0.8848616689990428"	"0.72"	"12"	"0"	"0"	"0"
"206"	"Colorization"	"0.4"	"0.8649735207179273"	"0.7575757575757577"	"5"	"1"	"0"	"0"
"207"	"Combinatorial Optimization"	""	""	"1.0"	"1"	"0"	"0"	"1"
"208"	"Common Sense Reasoning"	"0.6060606060606061"	"0.7987417204172775"	"0.36231884057971014"	"110"	"0"	"0"	"0"
"209"	"Common Sense Reasoning (Few-Shot)"	""	""	"1.0"	"1"	"0"	"0"	"0"
"210"	"Common Sense Reasoning (One-Shot)"	""	""	"1.0"	"1"	"0"	"0"	"0"
"211"	"Common Sense Reasoning (Zero-Shot)"	""	""	"1.0"	"1"	"0"	"0"	"0"
"212"	"Commonsense Knowledge Base Construction"	"0.0"	"1.0"	"1.0"	"6"	"0"	"0"	"0"
"213"	"Community Detection"	"0.3846153846153847"	"0.8837903650880798"	"0.7412280701754387"	"26"	"0"	"0"	"0"
"214"	"Community Question Answering"	"0.3782051282051282"	"0.9140989560492835"	"0.6499999999999999"	"26"	"0"	"1"	"0"
"215"	"Complex Word Identification"	""	""	"1.0"	"1"	"0"	"1"	"0"
"216"	"Complimentary Image Retrieval"	""	""	"1.0"	"1"	"0"	"0"	"0"
"217"	"Component Classification"	""	""	"1.0"	"1"	"0"	"1"	"0"
"218"	"Compositional Zero-Shot Learning"	"0.6"	"0.7219280948873623"	"0.7352941176470587"	"5"	"1"	"0"	"1"
"219"	"Compressive Sensing"	"0.5238095238095238"	"0.7861758316542938"	"0.6523668639053256"	"21"	"1"	"0"	"0"
"220"	"Computed Tomography (CT)"	"0.6165289256198347"	"0.7534925293969146"	"0.3712567501227295"	"55"	"0"	"0"	"1"
"221"	"Concept-To-Text Generation"	"0.0"	"0.9999999999999999"	"1.0"	"3"	"0"	"1"	"0"
"222"	"Concurrent Activity Recognition"	""	""	"1.0"	"1"	"1"	"0"	"0"
"223"	"Conditional Image Generation"	"0.5930183056619839"	"0.8228729303797365"	"0.36178660049627803"	"162"	"1"	"0"	"0"
"224"	"Conditional Text Generation"	"0.14814814814814814"	"0.9788379141596312"	"0.9"	"12"	"0"	"1"	"0"
"225"	"Constituency Grammar Induction"	""	""	"1.0"	"8"	"0"	"1"	"0"
"226"	"Constituency Parsing"	"0.9682539682539683"	"0.11759466565886476"	"0.5161248374512354"	"63"	"0"	"1"	"0"
"227"	"Constrained Lip-synchronization"	""	""	"1.0"	"1"	"1"	"0"	"0"
"228"	"Content-Based Image Retrieval"	"0.49411764705882355"	"0.8518139588607339"	"0.5307621671258035"	"34"	"1"	"0"	"0"
"229"	"Context Query Reformulation"	""	""	"1.0"	"1"	"0"	"1"	"0"
"230"	"Contextual Embedding for Source Code"	""	""	"1.0"	"1"	"0"	"0"	"0"
"231"	"Continual Learning"	"0.6637734125171311"	"0.7337563286130193"	"0.40424858618648046"	"398"	"1"	"0"	"1"
"232"	"Continuous Control"	"0.7152317880794703"	"0.6334121232440347"	"0.43657495165335947"	"302"	"1"	"0"	"0"
"233"	"Continuous Object Recognition"	""	""	"1.0"	"2"	"1"	"0"	"0"
"234"	"Continuously Indexed Domain Adaptation"	""	""	"1.0"	"1"	"1"	"0"	"1"
"235"	"Contour Detection"	""	""	"1.0"	"21"	"1"	"0"	"0"
"236"	"Contrastive Learning"	"0.0"	"1.0"	"1.0"	"4"	"0"	"0"	"0"
"237"	"Conversation Disentanglement"	""	""	"1.0"	"4"	"0"	"1"	"0"
"238"	"Conversational Response Selection"	"0.5"	"0.801800137398981"	"0.6095238095238096"	"32"	"0"	"1"	"0"
"239"	"Core set discovery"	"0.0"	"1.0"	"0.9999999999999999"	"6"	"0"	"0"	"1"
"240"	"Coreference Resolution"	"0.6480990274093722"	"0.776631570183244"	"0.3114814814814814"	"174"	"0"	"1"	"0"
"241"	"Crime Prediction"	""	""	"1.0"	"1"	"0"	"0"	"0"
"242"	"Cross Document Coreference Resolution"	"0.7777777777777778"	"0.5032583347756457"	"0.6230769230769231"	"9"	"0"	"1"	"0"
"243"	"Cross-Document Language Modeling"	""	""	"1.0"	"1"	"0"	"1"	"0"
"244"	"Cross-Domain Few-Shot"	"0.53"	"0.8271209842052686"	"0.48810250152532036"	"40"	"1"	"0"	"1"
