""	"task"	"categories"	"parents"	"children"	"siblings"
"19"	"Monocular Depth Estimation"	"[]"	"['Depth Estimation']"	"[]"	"['3D Depth Estimation', 'Depth Image Upsampling', 'Monocular Depth Estimation', 'Depth And Camera Motion', 'Stereo-LiDAR Fusion', 'Stereo Depth Estimation', 'Indoor Monocular Depth Estimation', 'Depth Map Super-Resolution']"
"20"	"Stereo Depth Estimation"	"[]"	"['Depth Estimation']"	"[]"	"['3D Depth Estimation', 'Depth Image Upsampling', 'Monocular Depth Estimation', 'Depth And Camera Motion', 'Stereo-LiDAR Fusion', 'Stereo Depth Estimation', 'Indoor Monocular Depth Estimation', 'Depth Map Super-Resolution']"
"21"	"Depth And Camera Motion"	"[]"	"['Depth Estimation']"	"[]"	"['3D Depth Estimation', 'Depth Image Upsampling', 'Monocular Depth Estimation', 'Depth And Camera Motion', 'Stereo-LiDAR Fusion', 'Stereo Depth Estimation', 'Indoor Monocular Depth Estimation', 'Depth Map Super-Resolution']"
"22"	"3D Depth Estimation"	"['Computer Vision']"	"['Depth Estimation', '3D']"	"['Transparent Object Depth Estimation']"	"['Monocular Depth Estimation', '3D Object Detection From Monocular Images', 'Depth And Camera Motion', '3D Plane Detection', '3D Face Reconstruction', '3D Object Classification', 'Underwater 3D Scene Reconstruction', '3D Object Retrieval', 'Face Reenactment', 'Generating 3D Point Clouds', '3D Pose Estimation', 'Depth Map Super-Resolution', 'Neural Rendering', '3D Shape Generation', 'Face Verification', '3D Geometry Perception', '3D Reconstruction', '3D Shape Representation', '3D Point Cloud Matching', '3D Feature Matching', '3D Scene Reconstruction', '3D Depth Estimation', 'Depth Image Upsampling', '3D FACE MODELING', '3D Surface Generation', '3D Volumetric Reconstruction', 'Video Reconstruction', 'Classify 3D Point Clouds', '3D Shape Classification', '3D Shape Reconstruction', 'Multi-View 3D Shape Retrieval', '3D Shape Recognition', 'Stereo-LiDAR Fusion', 'Stereo Depth Estimation', 'Indoor Monocular Depth Estimation', 'Point Set Upsampling']"
"23"	"Stereo-LiDAR Fusion"	"[]"	"['Depth Estimation']"	"[]"	"['3D Depth Estimation', 'Depth Image Upsampling', 'Monocular Depth Estimation', 'Depth And Camera Motion', 'Stereo-LiDAR Fusion', 'Stereo Depth Estimation', 'Indoor Monocular Depth Estimation', 'Depth Map Super-Resolution']"
"24"	"Indoor Monocular Depth Estimation"	"[]"	"['Depth Estimation']"	"[]"	"['3D Depth Estimation', 'Depth Image Upsampling', 'Monocular Depth Estimation', 'Depth And Camera Motion', 'Stereo-LiDAR Fusion', 'Stereo Depth Estimation', 'Indoor Monocular Depth Estimation', 'Depth Map Super-Resolution']"
"25"	"Depth Map Super-Resolution"	"[]"	"['Depth Estimation', 'Super-Resolution']"	"[]"	"['Image Super-Resolution', '3D Depth Estimation', 'Depth Image Upsampling', 'Monocular Depth Estimation', 'Depth And Camera Motion', 'Stereo-LiDAR Fusion', 'Stereo Depth Estimation', 'Indoor Monocular Depth Estimation', 'Depth Map Super-Resolution', '3D Object Super-Resolution', 'Video Super-Resolution']"
"26"	"Depth Image Upsampling"	"[]"	"['Depth Estimation']"	"[]"	"['3D Depth Estimation', 'Depth Image Upsampling', 'Monocular Depth Estimation', 'Depth And Camera Motion', 'Stereo-LiDAR Fusion', 'Stereo Depth Estimation', 'Indoor Monocular Depth Estimation', 'Depth Map Super-Resolution']"
"27"	"Malaria Risk Exposure Prediction"	"['Medical']"	"[]"	"[]"	"[]"
"28"	"Diabetes Prediction"	"['Medical']"	"[]"	"[]"	"[]"
"29"	"Medical Code Prediction"	"['Medical']"	"[]"	"[]"	"[]"
"30"	"Physical Attribute Prediction"	"['Computer Vision']"	"[]"	"[]"	"[]"
"31"	"Stock Market Prediction"	"['Time Series']"	"[]"	"['Stock Price Prediction', 'Stock Prediction', 'Stock Trend Prediction']"	"[]"
"32"	"Stock Price Prediction"	"[]"	"['Stock Market Prediction']"	"[]"	"['Stock Price Prediction', 'Stock Trend Prediction', 'Stock Prediction']"
"33"	"Stock Prediction"	"[]"	"['Stock Market Prediction']"	"[]"	"['Stock Price Prediction', 'Stock Trend Prediction', 'Stock Prediction']"
"34"	"Stock Trend Prediction"	"[]"	"['Stock Market Prediction']"	"[]"	"['Stock Price Prediction', 'Stock Trend Prediction', 'Stock Prediction']"
"35"	"Comics processing"	"['Computer Vision']"	"[]"	"[]"	"[]"
"36"	"Link Prediction"	"['Graphs', 'Knowledge Base']"	"[]"	"['Dynamic Link Prediction', 'Calibration for Link Prediction', 'Anchor link prediction']"	"[]"
"37"	"Dynamic Link Prediction"	"[]"	"['Link Prediction']"	"[]"	"['Anchor link prediction', 'Calibration for Link Prediction', 'Dynamic Link Prediction']"
"38"	"Calibration for Link Prediction"	"[]"	"['Link Prediction']"	"[]"	"['Anchor link prediction', 'Calibration for Link Prediction', 'Dynamic Link Prediction']"
"39"	"Anchor link prediction"	"[]"	"['Link Prediction']"	"[]"	"['Anchor link prediction', 'Calibration for Link Prediction', 'Dynamic Link Prediction']"
"40"	"Word Alignment"	"['Natural Language Processing']"	"[]"	"[]"	"[]"
"41"	"graph construction"	"['Graphs']"	"[]"	"[]"	"[]"
"42"	"Super-Resolution"	"['Graphs', 'Computer Vision']"	"[]"	"['Image Super-Resolution', 'Video Super-Resolution', '3D Object Super-Resolution', 'Depth Map Super-Resolution']"	"[]"
"43"	"Image Super-Resolution"	"['Audio', 'Computer Vision']"	"['Super-Resolution']"	"['Multi-Frame Super-Resolution', 'Audio Super-Resolution', 'Stereo Image Super-Resolution', 'satellite image super-resolution']"	"['Image Super-Resolution', '3D Object Super-Resolution', 'Video Super-Resolution', 'Depth Map Super-Resolution']"
"44"	"Video Super-Resolution"	"[]"	"['Super-Resolution', 'Video']"	"[]"	"['Video Synchronization', 'Action Classification', 'Video Summarization', 'Video Generation', 'Video Interlacing', 'Video Description', 'Natural Language Moment Retrieval', 'Motion Compensation', 'Video Recognition', 'Object Tracking', 'Video Story QA', 'Video Similarity', 'Video Frame Interpolation', 'Video Object Segmentation', 'Dynamic Region Segmentation', 'Video Background Subtraction', 'Video Classification', 'Localization In Video Forgery', 'Video Compressive Sensing', 'Video Denoising', 'Video Retrieval', 'Image Super-Resolution', 'Deception Detection In Videos', 'Video Understanding', 'Object Discovery In Videos', 'Activity Recognition In Videos', 'Action Spotting', 'Video Super-Resolution', 'Video Deinterlacing', 'Video Prediction', 'Anomaly Detection In Surveillance Videos', 'Video-to-Video Synthesis', 'Video Compression', 'Depth Map Super-Resolution', '3D Object Super-Resolution']"
"45"	"3D Object Super-Resolution"	"[]"	"['Super-Resolution']"	"[]"	"['Image Super-Resolution', '3D Object Super-Resolution', 'Video Super-Resolution', 'Depth Map Super-Resolution']"
"46"	"Single-cell modeling"	"['Medical']"	"[]"	"[]"	"[]"
"47"	"EEG"	"['Time Series', 'Methodology']"	"[]"	"['Attention Score Prediction', 'Noise Level Prediction', 'Semanticity prediction', 'LWR Classification', 'EEG Denoising']"	"[]"
"48"	"Attention Score Prediction"	"[]"	"['EEG']"	"[]"	"['Semanticity prediction', 'LWR Classification', 'EEG Denoising', 'Noise Level Prediction', 'Attention Score Prediction']"
"49"	"Noise Level Prediction"	"[]"	"['EEG']"	"[]"	"['Semanticity prediction', 'LWR Classification', 'EEG Denoising', 'Noise Level Prediction', 'Attention Score Prediction']"
"50"	"Semanticity prediction"	"[]"	"['EEG']"	"[]"	"['Semanticity prediction', 'LWR Classification', 'EEG Denoising', 'Noise Level Prediction', 'Attention Score Prediction']"
"51"	"LWR Classification"	"[]"	"['EEG']"	"[]"	"['Semanticity prediction', 'LWR Classification', 'EEG Denoising', 'Noise Level Prediction', 'Attention Score Prediction']"
"52"	"EEG Denoising"	"[]"	"['EEG']"	"[]"	"['Semanticity prediction', 'LWR Classification', 'EEG Denoising', 'Noise Level Prediction', 'Attention Score Prediction']"
"53"	"X-Ray"	"['Medical']"	"[]"	"['Medical X-Ray Image Segmentation', 'Low-Dose X-Ray Ct Reconstruction', 'Bone Suppression From Dual Energy Chest X-Rays', 'Joint Vertebrae Identification And Localization In Spinal Ct Images', 'Finding Pulmonary Nodules In Large-Scale Ct Images', 'Mapping Of Lung Nodules In Low-Dose Ct Images', 'Cbct Artifact Reduction']"	"[]"
"54"	"Medical X-Ray Image Segmentation"	"[]"	"['X-Ray']"	"[]"	"['Joint Vertebrae Identification And Localization In Spinal Ct Images', 'Medical X-Ray Image Segmentation', 'Low-Dose X-Ray Ct Reconstruction', 'Bone Suppression From Dual Energy Chest X-Rays', 'Finding Pulmonary Nodules In Large-Scale Ct Images', 'Cbct Artifact Reduction', 'Mapping Of Lung Nodules In Low-Dose Ct Images']"
"55"	"Low-Dose X-Ray Ct Reconstruction"	"[]"	"['X-Ray']"	"[]"	"['Joint Vertebrae Identification And Localization In Spinal Ct Images', 'Medical X-Ray Image Segmentation', 'Low-Dose X-Ray Ct Reconstruction', 'Bone Suppression From Dual Energy Chest X-Rays', 'Finding Pulmonary Nodules In Large-Scale Ct Images', 'Cbct Artifact Reduction', 'Mapping Of Lung Nodules In Low-Dose Ct Images']"
"56"	"Bone Suppression From Dual Energy Chest X-Rays"	"[]"	"['X-Ray']"	"[]"	"['Joint Vertebrae Identification And Localization In Spinal Ct Images', 'Medical X-Ray Image Segmentation', 'Low-Dose X-Ray Ct Reconstruction', 'Bone Suppression From Dual Energy Chest X-Rays', 'Finding Pulmonary Nodules In Large-Scale Ct Images', 'Cbct Artifact Reduction', 'Mapping Of Lung Nodules In Low-Dose Ct Images']"
"57"	"Joint Vertebrae Identification And Localization In Spinal Ct Images"	"[]"	"['X-Ray']"	"[]"	"['Joint Vertebrae Identification And Localization In Spinal Ct Images', 'Medical X-Ray Image Segmentation', 'Low-Dose X-Ray Ct Reconstruction', 'Bone Suppression From Dual Energy Chest X-Rays', 'Finding Pulmonary Nodules In Large-Scale Ct Images', 'Cbct Artifact Reduction', 'Mapping Of Lung Nodules In Low-Dose Ct Images']"
"58"	"Finding Pulmonary Nodules In Large-Scale Ct Images"	"[]"	"['X-Ray']"	"[]"	"['Joint Vertebrae Identification And Localization In Spinal Ct Images', 'Medical X-Ray Image Segmentation', 'Low-Dose X-Ray Ct Reconstruction', 'Bone Suppression From Dual Energy Chest X-Rays', 'Finding Pulmonary Nodules In Large-Scale Ct Images', 'Cbct Artifact Reduction', 'Mapping Of Lung Nodules In Low-Dose Ct Images']"
"59"	"Mapping Of Lung Nodules In Low-Dose Ct Images"	"[]"	"['X-Ray']"	"[]"	"['Joint Vertebrae Identification And Localization In Spinal Ct Images', 'Medical X-Ray Image Segmentation', 'Low-Dose X-Ray Ct Reconstruction', 'Bone Suppression From Dual Energy Chest X-Rays', 'Finding Pulmonary Nodules In Large-Scale Ct Images', 'Cbct Artifact Reduction', 'Mapping Of Lung Nodules In Low-Dose Ct Images']"
"60"	"Cbct Artifact Reduction"	"[]"	"['X-Ray']"	"[]"	"['Joint Vertebrae Identification And Localization In Spinal Ct Images', 'Medical X-Ray Image Segmentation', 'Low-Dose X-Ray Ct Reconstruction', 'Bone Suppression From Dual Energy Chest X-Rays', 'Finding Pulmonary Nodules In Large-Scale Ct Images', 'Cbct Artifact Reduction', 'Mapping Of Lung Nodules In Low-Dose Ct Images']"
"61"	"Cancer"	"['Medical', 'Knowledge Base']"	"[]"	"['Breast Cancer Detection', 'Skin Cancer Classification', 'Lung Cancer Diagnosis', 'Breast Cancer Histology Image Classification', 'Classification Of Breast Cancer Histology Images', 'Prediction Of Cancer Cell Line Sensitivity', 'Oral Cancer Classification', 'Discovery Of Integrative Cancer Subtypes', 'Colon Cancer Detection In Confocal Laser Microscopy Images']"	"[]"
"62"	"Breast Cancer Detection"	"[]"	"['Cancer', 'Breast Cancer Histology Image Classification']"	"[]"	"['Breast Cancer Detection', 'Oral Cancer Classification', 'Classification Of Breast Cancer Histology Images', 'Breast Cancer Histology Image Classification', 'Skin Cancer Classification', 'Lung Cancer Diagnosis', 'Colon Cancer Detection In Confocal Laser Microscopy Images', 'Discovery Of Integrative Cancer Subtypes', 'Prediction Of Cancer Cell Line Sensitivity']"
"63"	"Skin Cancer Classification"	"[]"	"['Cancer']"	"[]"	"['Breast Cancer Detection', 'Oral Cancer Classification', 'Classification Of Breast Cancer Histology Images', 'Breast Cancer Histology Image Classification', 'Skin Cancer Classification', 'Lung Cancer Diagnosis', 'Colon Cancer Detection In Confocal Laser Microscopy Images', 'Discovery Of Integrative Cancer Subtypes', 'Prediction Of Cancer Cell Line Sensitivity']"
"64"	"Lung Cancer Diagnosis"	"[]"	"['Cancer']"	"[]"	"['Breast Cancer Detection', 'Oral Cancer Classification', 'Classification Of Breast Cancer Histology Images', 'Breast Cancer Histology Image Classification', 'Skin Cancer Classification', 'Lung Cancer Diagnosis', 'Colon Cancer Detection In Confocal Laser Microscopy Images', 'Discovery Of Integrative Cancer Subtypes', 'Prediction Of Cancer Cell Line Sensitivity']"
"65"	"Breast Cancer Histology Image Classification"	"['Knowledge Base']"	"['Cancer']"	"['Breast Cancer Detection']"	"['Breast Cancer Detection', 'Oral Cancer Classification', 'Classification Of Breast Cancer Histology Images', 'Breast Cancer Histology Image Classification', 'Skin Cancer Classification', 'Lung Cancer Diagnosis', 'Colon Cancer Detection In Confocal Laser Microscopy Images', 'Discovery Of Integrative Cancer Subtypes', 'Prediction Of Cancer Cell Line Sensitivity']"
"66"	"Classification Of Breast Cancer Histology Images"	"[]"	"['Cancer']"	"[]"	"['Breast Cancer Detection', 'Oral Cancer Classification', 'Classification Of Breast Cancer Histology Images', 'Breast Cancer Histology Image Classification', 'Skin Cancer Classification', 'Lung Cancer Diagnosis', 'Colon Cancer Detection In Confocal Laser Microscopy Images', 'Discovery Of Integrative Cancer Subtypes', 'Prediction Of Cancer Cell Line Sensitivity']"
"67"	"Prediction Of Cancer Cell Line Sensitivity"	"[]"	"['Cancer']"	"[]"	"['Breast Cancer Detection', 'Oral Cancer Classification', 'Classification Of Breast Cancer Histology Images', 'Breast Cancer Histology Image Classification', 'Skin Cancer Classification', 'Lung Cancer Diagnosis', 'Colon Cancer Detection In Confocal Laser Microscopy Images', 'Discovery Of Integrative Cancer Subtypes', 'Prediction Of Cancer Cell Line Sensitivity']"
"68"	"Oral Cancer Classification"	"[]"	"['Cancer']"	"[]"	"['Breast Cancer Detection', 'Oral Cancer Classification', 'Classification Of Breast Cancer Histology Images', 'Breast Cancer Histology Image Classification', 'Skin Cancer Classification', 'Lung Cancer Diagnosis', 'Colon Cancer Detection In Confocal Laser Microscopy Images', 'Discovery Of Integrative Cancer Subtypes', 'Prediction Of Cancer Cell Line Sensitivity']"
"69"	"Discovery Of Integrative Cancer Subtypes"	"[]"	"['Cancer']"	"[]"	"['Breast Cancer Detection', 'Oral Cancer Classification', 'Classification Of Breast Cancer Histology Images', 'Breast Cancer Histology Image Classification', 'Skin Cancer Classification', 'Lung Cancer Diagnosis', 'Colon Cancer Detection In Confocal Laser Microscopy Images', 'Discovery Of Integrative Cancer Subtypes', 'Prediction Of Cancer Cell Line Sensitivity']"
"70"	"Colon Cancer Detection In Confocal Laser Microscopy Images"	"[]"	"['Cancer']"	"[]"	"['Breast Cancer Detection', 'Oral Cancer Classification', 'Classification Of Breast Cancer Histology Images', 'Breast Cancer Histology Image Classification', 'Skin Cancer Classification', 'Lung Cancer Diagnosis', 'Colon Cancer Detection In Confocal Laser Microscopy Images', 'Discovery Of Integrative Cancer Subtypes', 'Prediction Of Cancer Cell Line Sensitivity']"
"71"	"Reconstruction"	"['Computer Vision']"	"[]"	"['Single-View 3D Reconstruction', '3D Human Reconstruction', 'Single-Image-Based Hdr Reconstruction']"	"[]"
"72"	"Single-View 3D Reconstruction"	"[]"	"['Reconstruction']"	"[]"	"['Single-Image-Based Hdr Reconstruction', '3D Human Reconstruction', 'Single-View 3D Reconstruction']"
"73"	"3D Human Reconstruction"	"[]"	"['Reconstruction']"	"[]"	"['Single-Image-Based Hdr Reconstruction', '3D Human Reconstruction', 'Single-View 3D Reconstruction']"
"74"	"Single-Image-Based Hdr Reconstruction"	"['Computer Vision']"	"['Reconstruction']"	"['Tone Mapping']"	"['Single-Image-Based Hdr Reconstruction', '3D Human Reconstruction', 'Single-View 3D Reconstruction']"
"75"	"Facial Recognition and Modelling"	"['Graphs', 'Computer Vision']"	"['3D FACE MODELING', '3D Face Reconstruction']"	"['Face Recognition', 'Face Detection', 'Face Verification', 'Face Alignment', 'Face Generation', 'Facial Expression Recognition', 'Face Swapping', 'Facial Landmark Detection', '3D Face Reconstruction', 'Face Reconstruction', 'Face Identification', 'Face Anti-Spoofing', 'Age Estimation', 'Gender Prediction', 'Robust Face Recognition', 'Face Hallucination', 'Facial Inpainting', 'Age And Gender Classification', 'Face Sketch Synthesis', 'Facial Action Unit Detection', 'Action Unit Detection', 'Heterogeneous Face Recognition', 'Robust Face Alignment', 'Facial Attribute Classification', 'Facial Beauty Prediction', 'Face Image Retrieval', 'Mobile Periocular Recognition']"	"['Facial Recognition and Modelling']"
"76"	"Face Recognition"	"['Computer Vision']"	"['Facial Recognition and Modelling']"	"['Age-Invariant Face Recognition', 'Face Quality Assessement']"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"77"	"Face Detection"	"['Computer Vision']"	"['Facial Recognition and Modelling']"	"['Occluded Face Detection']"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"78"	"Face Verification"	"['Computer Vision']"	"['Facial Recognition and Modelling', '3D']"	"['Disguised Face Verification']"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', '3D Object Detection From Monocular Images', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Plane Detection', '3D Face Reconstruction', '3D Object Classification', 'Facial Attribute Classification', 'Facial Inpainting', 'Underwater 3D Scene Reconstruction', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', '3D Object Retrieval', 'Age Estimation', 'Face Reenactment', 'Face Reconstruction', 'Generating 3D Point Clouds', 'Facial Expression Recognition', '3D Pose Estimation', 'Face Recognition', 'Face Generation', 'Face Identification', 'Neural Rendering', 'Face Anti-Spoofing', 'Face Sketch Synthesis', '3D Shape Generation', 'Gender Prediction', 'Face Verification', '3D Reconstruction', '3D Shape Representation', 'Facial Landmark Detection', '3D Point Cloud Matching', '3D Feature Matching', 'Facial Action Unit Detection', '3D Scene Reconstruction', '3D Depth Estimation', 'Face Detection', '3D FACE MODELING', '3D Surface Generation', 'Robust Face Recognition', 'Video Reconstruction', '3D Volumetric Reconstruction', 'Classify 3D Point Clouds', '3D Shape Classification', '3D Shape Reconstruction', 'Robust Face Alignment', 'Multi-View 3D Shape Retrieval', '3D Shape Recognition', '3D Geometry Perception', 'Point Set Upsampling']"
"79"	"Face Alignment"	"[]"	"['Facial Recognition and Modelling']"	"[]"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
"80"	"Face Generation"	"['Computer Vision']"	"['Facial Recognition and Modelling', 'Image Generation', '3D Scene Reconstruction']"	"['Talking Face Generation', 'Talking Head Generation', 'Face Age Editing']"	"['Face Image Retrieval', 'Layout-to-Image Generation', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Conditional Image Generation', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Pose Transfer', 'Face Recognition', 'Face Generation', 'Face Identification', 'Chinese Landscape Painting Generation', 'Image Interpolation', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'person reposing', 'Image Inpainting', 'Image-to-Image Translation', 'Facial Landmark Detection', 'Text-to-Image Generation', 'Facial Action Unit Detection', 'Face Detection', 'Pose-Guided Image Generation', 'Robust Face Recognition', 'Robust Face Alignment', 'User Constrained Thumbnail Generation', 'ROI-based image generation', 'Handwritten Word Generation']"
"81"	"Facial Expression Recognition"	"['Computer Vision']"	"['Facial Recognition and Modelling']"	"['Micro-Expression Recognition', 'Micro-Expression Spotting', '3D Facial Expression Recognition', 'Smile Recognition']"	"['Face Image Retrieval', 'Face Alignment', 'Age And Gender Classification', 'Mobile Periocular Recognition', 'Action Unit Detection', 'Face Swapping', 'Face Hallucination', '3D Face Reconstruction', 'Facial Attribute Classification', 'Facial Inpainting', 'Heterogeneous Face Recognition', 'Facial Beauty Prediction', 'Age Estimation', 'Face Reconstruction', 'Facial Expression Recognition', 'Face Recognition', 'Face Generation', 'Face Identification', 'Face Anti-Spoofing', 'Face Sketch Synthesis', 'Gender Prediction', 'Face Verification', 'Facial Landmark Detection', 'Facial Action Unit Detection', 'Face Detection', 'Robust Face Recognition', 'Robust Face Alignment']"
