""	"task"	"year"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_homegrown"	"num_dataset_imports"	"num_papers_growing"	"num_converted_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"pwc_size"	"CV"	"NLP"	"Methodology"
"79"	"Cross-Lingual Transfer"	"2018.0"	"2.0"	"1.0"	"163.0"	"2.0"	"0.0"	"0.0"	"3.0"	"2013.0"	"inf"	"1.0"	"1.0"	"0.5"	"36748"	"0"	"1"	"0"
"80"	"Data Augmentation"	"2019.0"	"3.0"	"5.0"	"174.0"	"0.0"	"1.0"	"0.0"	"9.0"	"2012.0"	"5.0"	"inf"	"0.8333333333333334"	"1.0"	"49025"	"1"	"1"	"1"
"85"	"Deblurring"	"2017.0"	"1.0"	"0.0"	"183.0"	"0.0"	"4.0"	"2.0"	"5.0"	"2006.0"	"0.0"	"inf"	"0.0"	"1.0"	"23433"	"1"	"0"	"0"
"86"	"Deblurring"	"2020.0"	"1.0"	"0.0"	"184.0"	"0.0"	"27.0"	"0.0"	"28.0"	"2006.0"	"0.0"	"inf"	"0.0"	"1.0"	"63637"	"1"	"0"	"0"
"88"	"Depth Estimation"	"2016.0"	"2.0"	"24.0"	"196.0"	"0.0"	"0.0"	"0.0"	"26.0"	"2009.0"	"inf"	"inf"	"1.0"	"1.0"	"17279"	"1"	"0"	"0"
"89"	"Depth Estimation"	"2017.0"	"1.0"	"61.0"	"198.0"	"2.0"	"0.0"	"0.0"	"62.0"	"2009.0"	"inf"	"0.5"	"1.0"	"0.3333333333333333"	"23433"	"1"	"0"	"0"
"90"	"Depth Estimation"	"2019.0"	"5.0"	"362.0"	"199.0"	"0.0"	"7.0"	"1.0"	"374.0"	"2009.0"	"51.714285714285715"	"inf"	"0.981029810298103"	"1.0"	"49025"	"1"	"0"	"0"
"91"	"Depth Estimation"	"2020.0"	"1.0"	"410.0"	"204.0"	"0.0"	"18.0"	"4.0"	"429.0"	"2009.0"	"22.77777777777778"	"inf"	"0.9579439252336449"	"1.0"	"63637"	"1"	"0"	"0"
"95"	"Document Classification"	"2020.0"	"1.0"	"8.0"	"216.0"	"0.0"	"0.0"	"0.0"	"9.0"	"2010.0"	"inf"	"inf"	"1.0"	"1.0"	"63637"	"0"	"1"	"0"
"96"	"Domain Adaptation"	"2010.0"	"1.0"	"0.0"	"226.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2007.0"	""	"inf"	""	"1.0"	"349"	"1"	"0"	"1"
"97"	"Domain Adaptation"	"2017.0"	"5.0"	"129.0"	"227.0"	"3.0"	"16.0"	"5.0"	"150.0"	"2007.0"	"8.0625"	"1.6666666666666667"	"0.8896551724137931"	"0.625"	"23433"	"1"	"0"	"1"
"98"	"Domain Adaptation"	"2019.0"	"4.0"	"278.0"	"232.0"	"0.0"	"81.0"	"33.0"	"363.0"	"2007.0"	"3.432098765432099"	"inf"	"0.7743732590529248"	"1.0"	"49025"	"1"	"0"	"1"
"99"	"Domain Adaptation"	"2020.0"	"2.0"	"410.0"	"236.0"	"0.0"	"168.0"	"3.0"	"580.0"	"2007.0"	"2.4404761904761907"	"inf"	"0.7093425605536332"	"1.0"	"63637"	"1"	"0"	"1"
"101"	"Emotion Recognition"	"2008.0"	"2.0"	"0.0"	"249.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2008.0"	""	"inf"	""	"1.0"	"200"	"1"	"1"	"0"
"102"	"Emotion Recognition"	"2015.0"	"1.0"	"0.0"	"251.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2008.0"	""	"inf"	""	"1.0"	"12124"	"1"	"1"	"0"
"103"	"Emotion Recognition"	"2020.0"	"2.0"	"1.0"	"252.0"	"0.0"	"10.0"	"0.0"	"13.0"	"2008.0"	"0.1"	"inf"	"0.09090909090909091"	"1.0"	"63637"	"1"	"1"	"0"
"104"	"Face Detection"	"2015.0"	"2.0"	"6.0"	"273.0"	"0.0"	"3.0"	"3.0"	"11.0"	"2007.0"	"2.0"	"inf"	"0.6666666666666666"	"1.0"	"12124"	"1"	"0"	"0"
"105"	"Face Detection"	"2016.0"	"1.0"	"7.0"	"275.0"	"0.0"	"17.0"	"17.0"	"25.0"	"2007.0"	"0.4117647058823529"	"inf"	"0.2916666666666667"	"1.0"	"17279"	"1"	"0"	"0"
"106"	"Face Generation"	"2017.0"	"1.0"	"19.0"	"276.0"	"4.0"	"0.0"	"0.0"	"20.0"	"2010.0"	"inf"	"0.25"	"1.0"	"0.2"	"23433"	"1"	"0"	"0"
"107"	"Face Recognition"	"2008.0"	"1.0"	"0.0"	"278.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2007.0"	""	"inf"	""	"1.0"	"200"	"1"	"0"	"0"
"108"	"Face Recognition"	"2014.0"	"1.0"	"14.0"	"279.0"	"0.0"	"7.0"	"0.0"	"22.0"	"2007.0"	"2.0"	"inf"	"0.6666666666666666"	"1.0"	"9769"	"1"	"0"	"0"
"109"	"Face Recognition"	"2015.0"	"1.0"	"29.0"	"280.0"	"0.0"	"26.0"	"10.0"	"56.0"	"2007.0"	"1.1153846153846154"	"inf"	"0.5272727272727272"	"1.0"	"12124"	"1"	"0"	"0"
"110"	"Face Recognition"	"2016.0"	"4.0"	"47.0"	"281.0"	"0.0"	"37.0"	"30.0"	"88.0"	"2007.0"	"1.2702702702702702"	"inf"	"0.5595238095238095"	"1.0"	"17279"	"1"	"0"	"0"
"111"	"Face Recognition"	"2018.0"	"3.0"	"78.0"	"285.0"	"8.0"	"144.0"	"56.0"	"225.0"	"2007.0"	"0.5416666666666666"	"0.375"	"0.35135135135135137"	"0.2727272727272727"	"36748"	"1"	"0"	"0"
"112"	"Face Recognition"	"2020.0"	"1.0"	"85.0"	"288.0"	"0.0"	"217.0"	"57.0"	"303.0"	"2007.0"	"0.391705069124424"	"inf"	"0.2814569536423841"	"1.0"	"63637"	"1"	"0"	"0"
"113"	"Face Reconstruction"	"2016.0"	"1.0"	"7.0"	"289.0"	"0.0"	"1.0"	"0.0"	"9.0"	"2014.0"	"7.0"	"inf"	"0.875"	"1.0"	"17279"	"1"	"0"	"0"
"114"	"Face Reconstruction"	"2019.0"	"1.0"	"11.0"	"290.0"	"0.0"	"17.0"	"1.0"	"29.0"	"2014.0"	"0.6470588235294118"	"inf"	"0.39285714285714285"	"1.0"	"49025"	"1"	"0"	"0"
"115"	"Face Verification"	"2016.0"	"1.0"	"33.0"	"293.0"	"0.0"	"13.0"	"0.0"	"47.0"	"2009.0"	"2.5384615384615383"	"inf"	"0.717391304347826"	"1.0"	"17279"	"1"	"0"	"0"
"116"	"Face Verification"	"2018.0"	"1.0"	"59.0"	"294.0"	"0.0"	"26.0"	"7.0"	"86.0"	"2009.0"	"2.269230769230769"	"inf"	"0.6941176470588235"	"1.0"	"36748"	"1"	"0"	"0"
"117"	"Facial Expression Recognition"	"2013.0"	"1.0"	"0.0"	"296.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2010.0"	""	"inf"	""	"1.0"	"6815"	"1"	"0"	"0"
"118"	"Facial Expression Recognition"	"2016.0"	"2.0"	"5.0"	"297.0"	"0.0"	"4.0"	"0.0"	"11.0"	"2010.0"	"1.25"	"inf"	"0.5555555555555556"	"1.0"	"17279"	"1"	"0"	"0"
"119"	"Facial Expression Recognition"	"2018.0"	"1.0"	"4.0"	"299.0"	"0.0"	"15.0"	"5.0"	"20.0"	"2010.0"	"0.26666666666666666"	"inf"	"0.21052631578947367"	"1.0"	"36748"	"1"	"0"	"0"
"120"	"Facial Expression Recognition"	"2019.0"	"1.0"	"15.0"	"300.0"	"0.0"	"18.0"	"7.0"	"34.0"	"2010.0"	"0.8333333333333334"	"inf"	"0.45454545454545453"	"1.0"	"49025"	"1"	"0"	"0"
"121"	"Facial Landmark Detection"	"2018.0"	"1.0"	"10.0"	"301.0"	"0.0"	"0.0"	"0.0"	"11.0"	"2014.0"	"inf"	"inf"	"1.0"	"1.0"	"36748"	"1"	"0"	"0"
"122"	"Facial Recognition and Modelling"	"2016.0"	"1.0"	"0.0"	"302.0"	"0.0"	"14.0"	"0.0"	"15.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"17279"	"1"	"0"	"0"
"123"	"Facial Recognition and Modelling"	"2019.0"	"1.0"	"0.0"	"303.0"	"0.0"	"33.0"	"1.0"	"34.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"49025"	"1"	"0"	"0"
"124"	"Few-Shot Image Classification"	"2016.0"	"1.0"	"1.0"	"308.0"	"0.0"	"3.0"	"0.0"	"5.0"	"2014.0"	"0.3333333333333333"	"inf"	"0.25"	"1.0"	"17279"	"1"	"0"	"1"
"125"	"Few-Shot Image Classification"	"2018.0"	"1.0"	"3.0"	"309.0"	"0.0"	"6.0"	"0.0"	"10.0"	"2014.0"	"0.5"	"inf"	"0.3333333333333333"	"1.0"	"36748"	"1"	"0"	"1"
"126"	"Few-Shot Image Classification"	"2019.0"	"1.0"	"2.0"	"310.0"	"0.0"	"13.0"	"3.0"	"16.0"	"2014.0"	"0.15384615384615385"	"inf"	"0.13333333333333333"	"1.0"	"49025"	"1"	"0"	"1"
"127"	"Few-Shot Image Classification"	"2021.0"	"1.0"	"3.0"	"311.0"	"0.0"	"6.0"	"3.0"	"10.0"	"2014.0"	"0.5"	"inf"	"0.3333333333333333"	"1.0"	"37713"	"1"	"0"	"1"
"128"	"Few-Shot Learning"	"2016.0"	"2.0"	"13.0"	"312.0"	"0.0"	"1.0"	"0.0"	"16.0"	"2013.0"	"13.0"	"inf"	"0.9285714285714286"	"1.0"	"17279"	"1"	"0"	"1"
"129"	"Few-Shot Learning"	"2017.0"	"1.0"	"24.0"	"314.0"	"3.0"	"3.0"	"0.0"	"28.0"	"2013.0"	"8.0"	"0.3333333333333333"	"0.8888888888888888"	"0.25"	"23433"	"1"	"0"	"1"
"130"	"Few-Shot Learning"	"2019.0"	"1.0"	"195.0"	"315.0"	"0.0"	"9.0"	"9.0"	"205.0"	"2013.0"	"21.666666666666668"	"inf"	"0.9558823529411765"	"1.0"	"49025"	"1"	"0"	"1"
"131"	"Few-Shot Learning"	"2021.0"	"1.0"	"197.0"	"316.0"	"0.0"	"10.0"	"9.0"	"208.0"	"2013.0"	"19.7"	"inf"	"0.9516908212560387"	"1.0"	"37713"	"1"	"0"	"1"
"132"	"Few-Shot Transfer Learning for Saliency Prediction"	"2015.0"	"2.0"	"0.0"	"319.0"	"0.0"	"3.0"	"3.0"	"5.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"12124"	"1"	"0"	"0"
"133"	"Few-Shot Transfer Learning for Saliency Prediction"	"2020.0"	"1.0"	"0.0"	"321.0"	"0.0"	"9.0"	"1.0"	"10.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"63637"	"1"	"0"	"0"
"134"	"Fine-Grained Image Classification"	"2013.0"	"2.0"	"0.0"	"322.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2013.0"	""	"inf"	""	"1.0"	"6815"	"1"	"0"	"1"
"136"	"Grammatical Error Correction"	"2014.0"	"1.0"	"0.0"	"333.0"	"0.0"	"7.0"	"7.0"	"8.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"9769"	"0"	"1"	"0"
"137"	"Grammatical Error Correction"	"2019.0"	"1.0"	"0.0"	"334.0"	"0.0"	"27.0"	"0.0"	"28.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"49025"	"0"	"1"	"0"
"140"	"Hand Gesture Recognition"	"2012.0"	"1.0"	"0.0"	"349.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	"4725"	"1"	"0"	"0"
"141"	"Hand Gesture Recognition"	"2013.0"	"1.0"	"0.0"	"350.0"	"0.0"	"1.0"	"1.0"	"2.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"6815"	"1"	"0"	"0"
"142"	"Hand Gesture Recognition"	"2016.0"	"1.0"	"4.0"	"351.0"	"0.0"	"3.0"	"0.0"	"8.0"	"2012.0"	"1.3333333333333333"	"inf"	"0.5714285714285714"	"1.0"	"17279"	"1"	"0"	"0"
"143"	"Hand Pose Estimation"	"2017.0"	"4.0"	"6.0"	"352.0"	"0.0"	"0.0"	"0.0"	"10.0"	"2014.0"	"inf"	"inf"	"1.0"	"1.0"	"23433"	"1"	"0"	"0"
"144"	"Hand Pose Estimation"	"2019.0"	"1.0"	"2.0"	"356.0"	"0.0"	"0.0"	"0.0"	"3.0"	"2014.0"	"inf"	"inf"	"1.0"	"1.0"	"49025"	"1"	"0"	"0"
"145"	"Hand Pose Estimation"	"2020.0"	"2.0"	"3.0"	"357.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2014.0"	"inf"	"inf"	"1.0"	"1.0"	"63637"	"1"	"0"	"0"
"150"	"Image Captioning"	"2016.0"	"1.0"	"78.0"	"379.0"	"0.0"	"0.0"	"0.0"	"79.0"	"2011.0"	"inf"	"inf"	"1.0"	"1.0"	"17279"	"1"	"0"	"0"
"151"	"Image Captioning"	"2018.0"	"2.0"	"147.0"	"380.0"	"0.0"	"6.0"	"1.0"	"155.0"	"2011.0"	"24.5"	"inf"	"0.9607843137254902"	"1.0"	"36748"	"1"	"0"	"0"
"152"	"Image Captioning"	"2019.0"	"1.0"	"171.0"	"382.0"	"0.0"	"12.0"	"7.0"	"184.0"	"2011.0"	"14.25"	"inf"	"0.9344262295081968"	"1.0"	"49025"	"1"	"0"	"0"
"153"	"Image Classification"	"2009.0"	"2.0"	"0.0"	"383.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2007.0"	""	"inf"	""	"1.0"	"249"	"1"	"0"	"1"
"154"	"Image Classification"	"2011.0"	"1.0"	"0.0"	"385.0"	"0.0"	"2.0"	"1.0"	"3.0"	"2007.0"	"0.0"	"inf"	"0.0"	"1.0"	"351"	"1"	"0"	"1"
"155"	"Image Classification"	"2012.0"	"1.0"	"0.0"	"386.0"	"0.0"	"3.0"	"0.0"	"4.0"	"2007.0"	"0.0"	"inf"	"0.0"	"1.0"	"4725"	"1"	"0"	"1"
"156"	"Image Classification"	"2013.0"	"2.0"	"0.0"	"387.0"	"0.0"	"16.0"	"0.0"	"18.0"	"2007.0"	"0.0"	"inf"	"0.0"	"1.0"	"6815"	"1"	"0"	"1"
"157"	"Image Classification"	"2015.0"	"1.0"	"4.0"	"389.0"	"0.0"	"69.0"	"2.0"	"74.0"	"2007.0"	"0.057971014492753624"	"inf"	"0.0547945205479452"	"1.0"	"12124"	"1"	"0"	"1"
"158"	"Image Classification"	"2017.0"	"6.0"	"6.0"	"390.0"	"2.0"	"144.0"	"5.0"	"156.0"	"2007.0"	"0.041666666666666664"	"3.0"	"0.04"	"0.75"	"23433"	"1"	"0"	"1"
"159"	"Image Classification"	"2018.0"	"3.0"	"10.0"	"396.0"	"0.0"	"248.0"	"25.0"	"261.0"	"2007.0"	"0.04032258064516129"	"inf"	"0.03875968992248062"	"1.0"	"36748"	"1"	"0"	"1"
"160"	"Image Classification"	"2019.0"	"3.0"	"12.0"	"399.0"	"0.0"	"497.0"	"73.0"	"512.0"	"2007.0"	"0.02414486921529175"	"inf"	"0.023575638506876228"	"1.0"	"49025"	"1"	"0"	"1"
"161"	"Image Classification"	"2021.0"	"2.0"	"11.0"	"402.0"	"0.0"	"442.0"	"11.0"	"455.0"	"2007.0"	"0.024886877828054297"	"inf"	"0.024282560706401765"	"1.0"	"37713"	"1"	"0"	"1"
"162"	"Image Denoising"	"2017.0"	"1.0"	"20.0"	"407.0"	"6.0"	"0.0"	"0.0"	"21.0"	"2008.0"	"inf"	"0.16666666666666666"	"1.0"	"0.14285714285714285"	"23433"	"1"	"0"	"0"
"163"	"Image Denoising"	"2018.0"	"1.0"	"28.0"	"408.0"	"0.0"	"0.0"	"0.0"	"29.0"	"2008.0"	"inf"	"inf"	"1.0"	"1.0"	"36748"	"1"	"0"	"0"
"164"	"Image Generation"	"2017.0"	"2.0"	"101.0"	"409.0"	"16.0"	"1.0"	"0.0"	"104.0"	"2013.0"	"101.0"	"0.125"	"0.9901960784313726"	"0.1111111111111111"	"23433"	"1"	"1"	"0"
