""	"task"	"year"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_homegrown"	"num_dataset_imports"	"num_papers_growing"	"num_converted_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"conversion_pct"	"pwc_size"	"CV"	"NLP"	"Methodology"
"14"	"3D Human Pose Estimation"	"2021.0"	"1.0"	"24.0"	"19.0"	"0.0"	"3.0"	"0.0"	"28.0"	"2010.0"	"8.0"	"inf"	"0.8888888888888888"	"1.0"	"0.0"	"37713"	"1"	"0"	"0"
"15"	"3D Object Classification"	"2017.0"	"1.0"	"8.0"	"20.0"	"0.0"	"0.0"	"0.0"	"9.0"	"2016.0"	"inf"	"inf"	"1.0"	"1.0"	""	"23433"	"1"	"0"	"0"
"16"	"3D Object Detection"	"2012.0"	"1.0"	"0.0"	"21.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	""	"4725"	"1"	"0"	"0"
"17"	"3D Object Detection"	"2019.0"	"1.0"	"50.0"	"22.0"	"0.0"	"60.0"	"0.0"	"111.0"	"2012.0"	"0.8333333333333334"	"inf"	"0.45454545454545453"	"1.0"	"0.0"	"49025"	"1"	"0"	"0"
"18"	"3D Object Tracking"	"2019.0"	"1.0"	"0.0"	"23.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2013.0"	""	"inf"	""	"1.0"	""	"49025"	"1"	"0"	"0"
"19"	"3D Point Cloud Classification"	"2015.0"	"1.0"	"0.0"	"24.0"	"0.0"	"1.0"	"1.0"	"2.0"	"2014.0"	"0.0"	"inf"	"0.0"	"1.0"	"1.0"	"12124"	"1"	"0"	"0"
"20"	"3D Point Cloud Classification"	"2019.0"	"1.0"	"0.0"	"25.0"	"0.0"	"13.0"	"1.0"	"14.0"	"2014.0"	"0.0"	"inf"	"0.0"	"1.0"	"0.07692307692307693"	"49025"	"1"	"0"	"0"
"21"	"3D Point Cloud Matching"	"2019.0"	"1.0"	"4.0"	"26.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2010.0"	"inf"	"inf"	"1.0"	"1.0"	""	"49025"	"1"	"0"	"0"
"22"	"3D Pose Estimation"	"2018.0"	"1.0"	"15.0"	"27.0"	"7.0"	"0.0"	"0.0"	"16.0"	"2013.0"	"inf"	"0.14285714285714285"	"1.0"	"0.125"	""	"36748"	"1"	"0"	"0"
"23"	"3D Reconstruction"	"2018.0"	"2.0"	"31.0"	"28.0"	"18.0"	"5.0"	"4.0"	"38.0"	"2008.0"	"6.2"	"0.1111111111111111"	"0.8611111111111112"	"0.1"	"0.8"	"36748"	"1"	"0"	"0"
"24"	"3D Reconstruction"	"2019.0"	"1.0"	"40.0"	"30.0"	"0.0"	"8.0"	"7.0"	"49.0"	"2008.0"	"5.0"	"inf"	"0.8333333333333334"	"1.0"	"0.875"	"49025"	"1"	"0"	"0"
"25"	"3D Semantic Segmentation"	"2019.0"	"1.0"	"20.0"	"31.0"	"0.0"	"0.0"	"0.0"	"21.0"	"2016.0"	"inf"	"inf"	"1.0"	"1.0"	""	"49025"	"1"	"0"	"0"
"26"	"3D Semantic Segmentation"	"2021.0"	"1.0"	"20.0"	"32.0"	"0.0"	"0.0"	"0.0"	"21.0"	"2016.0"	"inf"	"inf"	"1.0"	"1.0"	""	"37713"	"1"	"0"	"0"
"27"	"3D Shape Modeling"	"2018.0"	"1.0"	"0.0"	"33.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2014.0"	""	"inf"	""	"1.0"	""	"36748"	"1"	"0"	"0"
"28"	"3D Shape Reconstruction"	"2018.0"	"1.0"	"0.0"	"34.0"	"5.0"	"2.0"	"2.0"	"3.0"	"2012.0"	"0.0"	"0.2"	"0.0"	"0.16666666666666666"	"1.0"	"36748"	"1"	"0"	"0"
"29"	"3D Shape Representation"	"2015.0"	"1.0"	"0.0"	"35.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	""	"12124"	"1"	"0"	"0"
"30"	"6D Pose Estimation"	"2017.0"	"1.0"	"0.0"	"36.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2015.0"	""	"inf"	""	"1.0"	""	"23433"	"1"	"0"	"0"
"31"	"6D Pose Estimation"	"2018.0"	"1.0"	"0.0"	"37.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2015.0"	""	"inf"	""	"1.0"	""	"36748"	"1"	"0"	"0"
"32"	"6D Pose Estimation"	"2019.0"	"2.0"	"8.0"	"38.0"	"0.0"	"0.0"	"0.0"	"10.0"	"2015.0"	"inf"	"inf"	"1.0"	"1.0"	""	"49025"	"1"	"0"	"0"
"33"	"6D Pose Estimation using RGB"	"2017.0"	"1.0"	"4.0"	"40.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2015.0"	"inf"	"inf"	"1.0"	"1.0"	""	"23433"	"1"	"0"	"0"
"34"	"6D Pose Estimation using RGB"	"2018.0"	"1.0"	"0.0"	"41.0"	"3.0"	"0.0"	"0.0"	"1.0"	"2015.0"	""	"0.3333333333333333"	""	"0.25"	""	"36748"	"1"	"0"	"0"
"35"	"6D Pose Estimation using RGB"	"2019.0"	"2.0"	"8.0"	"42.0"	"0.0"	"0.0"	"0.0"	"10.0"	"2015.0"	"inf"	"inf"	"1.0"	"1.0"	""	"49025"	"1"	"0"	"0"
"36"	"6D Pose Estimation using RGBD"	"2018.0"	"1.0"	"0.0"	"44.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2016.0"	""	"1.0"	""	"0.5"	""	"36748"	"1"	"0"	"0"
"37"	"Abnormal Event Detection In Video"	"2018.0"	"2.0"	"0.0"	"45.0"	"1.0"	"0.0"	"0.0"	"2.0"	"2016.0"	""	"2.0"	""	"0.6666666666666666"	""	"36748"	"1"	"0"	"1"
"38"	"Abnormal Event Detection In Video"	"2021.0"	"2.0"	"0.0"	"47.0"	"0.0"	"1.0"	"0.0"	"3.0"	"2016.0"	"0.0"	"inf"	"0.0"	"1.0"	"0.0"	"37713"	"1"	"0"	"1"
"39"	"Abstractive Text Summarization"	"2016.0"	"1.0"	"0.0"	"49.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	""	"17279"	"0"	"1"	"0"
"40"	"Abstractive Text Summarization"	"2018.0"	"1.0"	"6.0"	"50.0"	"10.0"	"0.0"	"0.0"	"7.0"	"2012.0"	"inf"	"0.1"	"1.0"	"0.09090909090909091"	""	"36748"	"0"	"1"	"0"
"41"	"Acoustic Scene Classification"	"2018.0"	"2.0"	"0.0"	"51.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2013.0"	""	"inf"	""	"1.0"	""	"36748"	"0"	"0"	"0"
"42"	"Action Classification"	"2012.0"	"1.0"	"0.0"	"53.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2009.0"	""	"inf"	""	"1.0"	""	"4725"	"1"	"0"	"0"
"43"	"Action Classification"	"2017.0"	"1.0"	"67.0"	"54.0"	"0.0"	"15.0"	"10.0"	"83.0"	"2009.0"	"4.466666666666667"	"inf"	"0.8170731707317073"	"1.0"	"0.6666666666666666"	"23433"	"1"	"0"	"0"
"44"	"Action Classification"	"2018.0"	"1.0"	"57.0"	"55.0"	"15.0"	"19.0"	"16.0"	"77.0"	"2009.0"	"3.0"	"0.06666666666666667"	"0.75"	"0.0625"	"0.8421052631578947"	"36748"	"1"	"0"	"0"
"45"	"Action Classification"	"2019.0"	"2.0"	"92.0"	"56.0"	"0.0"	"27.0"	"2.0"	"121.0"	"2009.0"	"3.4074074074074074"	"inf"	"0.773109243697479"	"1.0"	"0.07407407407407407"	"49025"	"1"	"0"	"0"
"46"	"Action Detection"	"2012.0"	"1.0"	"0.0"	"58.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	""	"4725"	"1"	"0"	"0"
"47"	"Action Detection"	"2015.0"	"1.0"	"0.0"	"59.0"	"0.0"	"2.0"	"1.0"	"3.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"0.5"	"12124"	"1"	"0"	"0"
"48"	"Action Detection"	"2020.0"	"1.0"	"16.0"	"60.0"	"0.0"	"29.0"	"0.0"	"46.0"	"2012.0"	"0.5517241379310345"	"inf"	"0.35555555555555557"	"1.0"	"0.0"	"63637"	"1"	"0"	"0"
"49"	"Action Generation"	"2020.0"	"1.0"	"4.0"	"61.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2017.0"	"inf"	"inf"	"1.0"	"1.0"	""	"63637"	"1"	"1"	"0"
"50"	"Action Parsing"	"2020.0"	"1.0"	"0.0"	"62.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2015.0"	""	"inf"	""	"1.0"	""	"63637"	"0"	"1"	"0"
"51"	"Action Quality Assessment"	"2019.0"	"1.0"	"0.0"	"63.0"	"0.0"	"1.0"	"0.0"	"2.0"	"2016.0"	"0.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"1"	"0"	"0"
"52"	"Action Recognition"	"2011.0"	"1.0"	"0.0"	"64.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2008.0"	""	"inf"	""	"1.0"	""	"351"	"1"	"0"	"0"
"53"	"Action Recognition"	"2012.0"	"2.0"	"0.0"	"65.0"	"0.0"	"1.0"	"1.0"	"3.0"	"2008.0"	"0.0"	"inf"	"0.0"	"1.0"	"1.0"	"4725"	"1"	"0"	"0"
"54"	"Action Recognition"	"2014.0"	"1.0"	"1.0"	"67.0"	"0.0"	"8.0"	"0.0"	"10.0"	"2008.0"	"0.125"	"inf"	"0.1111111111111111"	"1.0"	"0.0"	"9769"	"1"	"0"	"0"
"55"	"Action Recognition"	"2015.0"	"1.0"	"3.0"	"68.0"	"0.0"	"29.0"	"0.0"	"33.0"	"2008.0"	"0.10344827586206896"	"inf"	"0.09375"	"1.0"	"0.0"	"12124"	"1"	"0"	"0"
"56"	"Action Recognition"	"2016.0"	"4.0"	"6.0"	"69.0"	"0.0"	"35.0"	"0.0"	"45.0"	"2008.0"	"0.17142857142857143"	"inf"	"0.14634146341463414"	"1.0"	"0.0"	"17279"	"1"	"0"	"0"
"57"	"Action Recognition"	"2017.0"	"3.0"	"20.0"	"73.0"	"15.0"	"49.0"	"4.0"	"72.0"	"2008.0"	"0.40816326530612246"	"0.2"	"0.2898550724637681"	"0.16666666666666666"	"0.08163265306122448"	"23433"	"1"	"0"	"0"
"58"	"Action Recognition"	"2018.0"	"2.0"	"53.0"	"76.0"	"0.0"	"48.0"	"8.0"	"103.0"	"2008.0"	"1.1041666666666667"	"inf"	"0.5247524752475248"	"1.0"	"0.16666666666666666"	"36748"	"1"	"0"	"0"
"59"	"Action Recognition"	"2020.0"	"3.0"	"133.0"	"78.0"	"0.0"	"141.0"	"4.0"	"277.0"	"2008.0"	"0.9432624113475178"	"inf"	"0.4854014598540146"	"1.0"	"0.028368794326241134"	"63637"	"1"	"0"	"0"
"60"	"Action Recognition"	"2021.0"	"1.0"	"65.0"	"81.0"	"0.0"	"86.0"	"8.0"	"152.0"	"2008.0"	"0.7558139534883721"	"inf"	"0.4304635761589404"	"1.0"	"0.09302325581395349"	"37713"	"1"	"0"	"0"
"61"	"Action Segmentation"	"2015.0"	"1.0"	"0.0"	"82.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2014.0"	""	"inf"	""	"1.0"	""	"12124"	"1"	"0"	"0"
"62"	"Active Learning"	"2016.0"	"1.0"	"0.0"	"83.0"	"0.0"	"0.0"	"0.0"	"1.0"	"1994.0"	""	"inf"	""	"1.0"	""	"17279"	"1"	"1"	"1"
"63"	"Activity Detection"	"2020.0"	"1.0"	"0.0"	"84.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	""	"63637"	"1"	"0"	"0"
"64"	"Activity Recognition"	"2013.0"	"1.0"	"0.0"	"85.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2007.0"	""	"inf"	""	"1.0"	""	"6815"	"1"	"0"	"0"
"65"	"Age Estimation"	"2020.0"	"1.0"	"7.0"	"86.0"	"0.0"	"1.0"	"0.0"	"9.0"	"2013.0"	"7.0"	"inf"	"0.875"	"1.0"	"0.0"	"63637"	"1"	"0"	"0"
"66"	"Anomaly Detection"	"2008.0"	"1.0"	"0.0"	"87.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2008.0"	""	"inf"	""	"1.0"	""	"200"	"1"	"0"	"1"
"67"	"Anomaly Detection"	"2015.0"	"1.0"	"0.0"	"88.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2008.0"	""	"inf"	""	"1.0"	""	"12124"	"1"	"0"	"1"
"68"	"Anomaly Detection"	"2018.0"	"2.0"	"28.0"	"89.0"	"3.0"	"6.0"	"0.0"	"36.0"	"2008.0"	"4.666666666666667"	"0.6666666666666666"	"0.8235294117647058"	"0.4"	"0.0"	"36748"	"1"	"0"	"1"
"69"	"Anomaly Detection"	"2019.0"	"2.0"	"42.0"	"91.0"	"0.0"	"6.0"	"1.0"	"50.0"	"2008.0"	"7.0"	"inf"	"0.875"	"1.0"	"0.16666666666666666"	"49025"	"1"	"0"	"1"
"70"	"Anomaly Detection"	"2021.0"	"2.0"	"57.0"	"93.0"	"0.0"	"12.0"	"0.0"	"71.0"	"2008.0"	"4.75"	"inf"	"0.8260869565217391"	"1.0"	"0.0"	"37713"	"1"	"0"	"1"
"71"	"Anomaly Detection In Surveillance Videos"	"2018.0"	"1.0"	"0.0"	"95.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2017.0"	""	"inf"	""	"1.0"	""	"36748"	"1"	"0"	"1"
"72"	"Anomaly Detection In Surveillance Videos"	"2020.0"	"1.0"	"1.0"	"96.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2017.0"	"inf"	"inf"	"1.0"	"1.0"	""	"63637"	"1"	"0"	"1"
"73"	"Anomaly Detection In Surveillance Videos"	"2021.0"	"1.0"	"2.0"	"97.0"	"0.0"	"1.0"	"1.0"	"4.0"	"2017.0"	"2.0"	"inf"	"0.6666666666666666"	"1.0"	"1.0"	"37713"	"1"	"0"	"1"
"74"	"Answer Selection"	"2015.0"	"1.0"	"0.0"	"98.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	""	"12124"	"0"	"1"	"0"
"75"	"Answer Selection"	"2016.0"	"1.0"	"4.0"	"99.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2012.0"	"inf"	"inf"	"1.0"	"1.0"	""	"17279"	"0"	"1"	"0"
"76"	"Argument Retrieval"	"2021.0"	"1.0"	"0.0"	"100.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2018.0"	""	"inf"	""	"1.0"	""	"37713"	"0"	"0"	"0"
"77"	"Aspect-Based Sentiment Analysis"	"2014.0"	"1.0"	"0.0"	"101.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	""	"9769"	"0"	"1"	"0"
"78"	"Aspect-Based Sentiment Analysis"	"2019.0"	"1.0"	"0.0"	"102.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	""	"49025"	"0"	"1"	"0"
"79"	"Atari Games"	"2012.0"	"1.0"	"0.0"	"103.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	""	"4725"	"0"	"0"	"0"
"80"	"Atari Games"	"2019.0"	"1.0"	"0.0"	"104.0"	"0.0"	"21.0"	"0.0"	"22.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"0"	"0"	"0"
"81"	"Atari Games"	"2020.0"	"1.0"	"2.0"	"105.0"	"0.0"	"22.0"	"1.0"	"25.0"	"2012.0"	"0.09090909090909091"	"inf"	"0.08333333333333333"	"1.0"	"0.045454545454545456"	"63637"	"0"	"0"	"0"
"82"	"Audio Classification"	"2017.0"	"1.0"	"0.0"	"106.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2009.0"	""	"inf"	""	"1.0"	""	"23433"	"0"	"0"	"0"
"83"	"Audio Tagging"	"2018.0"	"1.0"	"0.0"	"107.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2016.0"	""	"inf"	""	"1.0"	""	"36748"	"0"	"0"	"0"
"84"	"Audio Tagging"	"2019.0"	"1.0"	"0.0"	"108.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2016.0"	""	"inf"	""	"1.0"	""	"49025"	"0"	"0"	"0"
"85"	"Automatic Post-Editing"	"2015.0"	"1.0"	"0.0"	"109.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	""	"12124"	"1"	"1"	"0"
"86"	"Automatic Post-Editing"	"2016.0"	"1.0"	"0.0"	"110.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	""	"17279"	"1"	"1"	"0"
"87"	"Automatic Post-Editing"	"2018.0"	"2.0"	"0.0"	"111.0"	"0.0"	"5.0"	"0.0"	"7.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"0.0"	"36748"	"1"	"1"	"0"
"88"	"Autonomous Driving"	"2017.0"	"1.0"	"4.0"	"113.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2009.0"	"inf"	"inf"	"1.0"	"1.0"	""	"23433"	"1"	"0"	"0"
"89"	"Autonomous Driving"	"2020.0"	"1.0"	"37.0"	"114.0"	"0.0"	"75.0"	"3.0"	"113.0"	"2009.0"	"0.49333333333333335"	"inf"	"0.33035714285714285"	"1.0"	"0.04"	"63637"	"1"	"0"	"0"
"90"	"Autonomous Vehicles"	"2017.0"	"1.0"	"0.0"	"115.0"	"0.0"	"1.0"	"1.0"	"2.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"1.0"	"23433"	"1"	"0"	"0"
"91"	"Biomedical Information Retrieval"	"2021.0"	"1.0"	"0.0"	"116.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2017.0"	""	"inf"	""	"1.0"	""	"37713"	"0"	"0"	"0"
"92"	"Boundary Detection"	"2001.0"	"1.0"	"0.0"	"117.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2001.0"	""	"inf"	""	"1.0"	""	"4"	"1"	"0"	"0"
"93"	"COVID-19 Diagnosis"	"2020.0"	"1.0"	"3.0"	"118.0"	"0.0"	"12.0"	"5.0"	"16.0"	"2020.0"	"0.25"	"inf"	"0.2"	"1.0"	"0.4166666666666667"	"63637"	"0"	"0"	"0"
"94"	"Camouflaged Object Segmentation"	"2021.0"	"2.0"	"13.0"	"119.0"	"0.0"	"4.0"	"4.0"	"19.0"	"2019.0"	"3.25"	"inf"	"0.7647058823529411"	"1.0"	"1.0"	"37713"	"1"	"0"	"0"
"95"	"Chatbot"	"2018.0"	"1.0"	"0.0"	"121.0"	"0.0"	"1.0"	"1.0"	"2.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"1.0"	"36748"	"0"	"1"	"0"
"96"	"Chinese Named Entity Recognition"	"2018.0"	"1.0"	"0.0"	"122.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	""	"36748"	"0"	"1"	"0"
"97"	"Citation Intent Classification"	"2019.0"	"1.0"	"1.0"	"123.0"	"0.0"	"1.0"	"1.0"	"3.0"	"2013.0"	"1.0"	"inf"	"0.5"	"1.0"	"1.0"	"49025"	"0"	"1"	"0"
"98"	"Citation Prediction"	"2020.0"	"1.0"	"0.0"	"124.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2015.0"	""	"inf"	""	"1.0"	""	"63637"	"0"	"0"	"0"
"99"	"Citation Prediction"	"2021.0"	"1.0"	"0.0"	"125.0"	"0.0"	"1.0"	"1.0"	"2.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"1.0"	"37713"	"0"	"0"	"0"
"100"	"Code Generation"	"2019.0"	"1.0"	"0.0"	"126.0"	"0.0"	"1.0"	"0.0"	"2.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"0"	"1"	"0"
"101"	"Code Generation"	"2021.0"	"2.0"	"0.0"	"127.0"	"0.0"	"2.0"	"1.0"	"4.0"	"2012.0"	"0.0"	"inf"	"0.0"	"1.0"	"0.5"	"37713"	"0"	"1"	"0"
"102"	"Colorectal Polyps Characterization"	"2021.0"	"1.0"	"3.0"	"129.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2019.0"	"inf"	"inf"	"1.0"	"1.0"	""	"37713"	"0"	"0"	"0"
"103"	"Colorization"	"2018.0"	"1.0"	"0.0"	"130.0"	"0.0"	"1.0"	"1.0"	"2.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"1.0"	"36748"	"1"	"0"	"0"
"104"	"Common Sense Reasoning"	"2018.0"	"2.0"	"1.0"	"131.0"	"0.0"	"3.0"	"3.0"	"6.0"	"2012.0"	"0.3333333333333333"	"inf"	"0.25"	"1.0"	"1.0"	"36748"	"0"	"0"	"0"
"105"	"Common Sense Reasoning"	"2019.0"	"1.0"	"1.0"	"133.0"	"0.0"	"19.0"	"15.0"	"21.0"	"2012.0"	"0.05263157894736842"	"inf"	"0.05"	"1.0"	"0.7894736842105263"	"49025"	"0"	"0"	"0"
"106"	"Common Sense Reasoning"	"2020.0"	"3.0"	"1.0"	"134.0"	"0.0"	"10.0"	"8.0"	"14.0"	"2012.0"	"0.1"	"inf"	"0.09090909090909091"	"1.0"	"0.8"	"63637"	"0"	"0"	"0"
"107"	"Commonsense Knowledge Base Construction"	"2020.0"	"1.0"	"0.0"	"137.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2020.0"	""	"inf"	""	"1.0"	""	"63637"	"0"	"0"	"0"
"108"	"Community Question Answering"	"2018.0"	"1.0"	"0.0"	"138.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"1.0"	""	"0.5"	""	"36748"	"0"	"1"	"0"
"109"	"Computed Tomography (CT)"	"2016.0"	"1.0"	"0.0"	"139.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2013.0"	""	"inf"	""	"1.0"	""	"17279"	"0"	"0"	"1"
"110"	"Computed Tomography (CT)"	"2019.0"	"1.0"	"0.0"	"140.0"	"0.0"	"9.0"	"0.0"	"10.0"	"2013.0"	"0.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"0"	"0"	"1"
"111"	"Concept-To-Text Generation"	"2016.0"	"1.0"	"0.0"	"141.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	""	"17279"	"0"	"1"	"0"
"112"	"Conditional Text Generation"	"2020.0"	"1.0"	"0.0"	"142.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2018.0"	""	"inf"	""	"1.0"	""	"63637"	"0"	"1"	"0"
"113"	"Continuous Control"	"2012.0"	"1.0"	"0.0"	"143.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	""	"inf"	""	"1.0"	""	"4725"	"1"	"0"	"0"
"114"	"Continuous Control"	"2018.0"	"1.0"	"22.0"	"144.0"	"0.0"	"18.0"	"4.0"	"41.0"	"2012.0"	"1.2222222222222223"	"inf"	"0.55"	"1.0"	"0.2222222222222222"	"36748"	"1"	"0"	"0"
"115"	"Conversational Response Selection"	"2016.0"	"1.0"	"0.0"	"145.0"	"0.0"	"2.0"	"2.0"	"3.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"1.0"	"17279"	"0"	"1"	"0"
"116"	"Conversational Response Selection"	"2019.0"	"2.0"	"0.0"	"146.0"	"0.0"	"15.0"	"3.0"	"17.0"	"2015.0"	"0.0"	"inf"	"0.0"	"1.0"	"0.2"	"49025"	"0"	"1"	"0"
"117"	"Coreference Resolution"	"2012.0"	"1.0"	"0.0"	"148.0"	"0.0"	"6.0"	"6.0"	"7.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"1.0"	"4725"	"0"	"1"	"0"
"118"	"Coreference Resolution"	"2014.0"	"1.0"	"0.0"	"149.0"	"0.0"	"3.0"	"0.0"	"4.0"	"2009.0"	"0.0"	"inf"	"0.0"	"1.0"	"0.0"	"9769"	"0"	"1"	"0"
